Category,Analyte,Parts,DecimalPlaces,unit,ES,Method,instrument
일반항목,노말헥산 추출물질,수질오염물질,1,㎎/L,ES 04302.1b,노말헥산 추출물질,Dry oven / C-DF3 / 191220
일반항목,노말헥산 추출물질(광유류),수질오염물질,1,㎎/L,ES 04302.1b,노말헥산 추출물질,Dry oven / C-DF3 / 191220
일반항목,노말헥산추출물질(동·식물 유지류),수질오염물질,1,㎎/L,ES 04302.1b,노말헥산 추출물질,Dry oven / C-DF3 / 191220
일반항목,부유물질,수질오염물질,1,㎎/L,ES 04303.1c,부유물질,Dry oven / C-DF3 / 191220
일반항목,색도,수질오염물질,0,도,ES 04304.1d,색도,분광광도계(UV) / UV-1800 / A11454806511
일반항목,생물화학적 산소요구량,수질오염물질,1,㎎/L,ES 04305.1c,생물화학적 산소요구량(식종희석수를 이용한 시료),DO meter / HQ430D / 230300044946
일반항목,수소이온농도,,1,-,ES 04306.1d,수소이온농도,pH meter / HQ411d / 240400048121
일반항목,온도,,1,℃,ES 04307.1c,온도,온도계 / NTC- / -
일반항목,전기전도도,,0,㎲/㎝,ES 04310.1e,전기전도도,"(현장측정용)pH meter,전기전도도 / HQ2200 / 241522200106"
일반항목,총 유기탄소,수질오염물질,1,㎎/L,ES 04311.1d,고온연소산화법(가감법),TOC 분석기 / N/C3100 / N3-1466/AT
일반항목,탁도,,0,NTU,ES 04313.1c,탁도,탁도계 / 2100Q / 24110D000522
일반항목,화학적 산소요구량,,1,㎎/L,ES 04315.1b/2b,적정법-알칼리성과망간산칼륨법,항온수조 / C-WBD10 / 250422
이온류,시안,특정32종,2,㎎/L,ES 04353.1e,자외선/가시선분광법,분광광도계(UV) / UV-1800 / A11454806511
이온류,음이온계면활성제,수질오염물질,2,㎎/L,ES 04359.1d,자외선/가시선분광법,분광광도계(UV) / UV-1800 / A11454806511
이온류,총인,수질오염물질,3,㎎/L,ES 04362.1c,자외선/가시선분광법(과황산칼륨 분해한 경우),분광광도계(UV) / UV-1800 / A11454806511
이온류,총질소,수질오염물질,1,㎎/L,ES 04363.1a,자외선/가시선분광법-산화법,분광광도계(UV) / UV-1800 / A11454806511
이온류,퍼클로레이트,수질오염물질,3,㎎/L,ES 04364.2b,이온크로마토그래피,IC / HIC-ESP / L21845900655
이온류,페놀류,수질오염물질,3,㎎/L,ES 04365.1d,자외선/가시선분광법,분광광도계(UV) / UV-1800 / A11454806511
