Batch Data Path,"V:\2026\2026-01\DEHA(HC 1.22, YS 1.27,28, HJ 1.28)\QuantResults\DEHA.batch.bin"
Analysis Time,2026-02-02 오후 5:11:25,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-02 오후 5:11:25,Analyze Quant Version,10.2,Report Quant Version,10.2
Di(2-ethylhexyl)adipate
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
DEHA ST-01.d,,Cal,6.928,,9745,,123800,,0.7698
DEHA ST-02.d,,Cal,6.928,,20864,,121747,,1.0767
DEHA ST-03.d,,Cal,6.928,,59946,,117782,,2.1948
DEHA ST-04.d,,Cal,6.928,,149364,,115098,,4.8072
DEHA ST-05.d,,Cal,6.928,,325120,,111675,,10.1516
BK-.d,,Blank,,,,,115174,,ND
FBK(HC 26-01-22).d,,Blank,,,,,110649,,ND
HC-01.d,,Sample,,,,,111300,,ND
HC-02.d,,Sample,,,,,112308,,ND
HC-03.d,,Sample,,,,,110751,,ND
HC-04.d,,Sample,,,,,112526,,ND
HC-05.d,,Sample,,,,,111359,,ND
HC-06.d,,Sample,,,,,110263,,ND
HC-07.d,,Sample,,,,,109616,,ND
HC-08.d,,Sample,,,,,108130,,ND
HC-09.d,,Sample,,,,,105339,,ND
HC-11.d,,Sample,,,,,108503,,ND
HC-12.d,,Sample,,,,,107995,,ND
HC-13.d,,Sample,,,,,108772,,ND
HC-14.d,,Sample,,,,,108184,,ND
HC-15.d,,Sample,,,,,108482,,ND
HC-16.d,,Sample,,,,,104098,,ND
MBK-1.d,,Blank,,,,,104615,,ND
CCV-1.d,,QC,6.928,,132284,,98273,,4.9674
HC-17.d,,Sample,,,,,104661,,ND
HC-18.d,,Sample,,,,,106706,,ND
HC-19.d,,Sample,,,,,106124,,ND
HC-20.d,,Sample,,,,,104137,,ND
HC-21.d,,Sample,,,,,103566,,ND
HC-22.d,,Sample,,,,,103828,,ND
HC-23.d,,Sample,,,,,104380,,ND
HC-24.d,,Sample,,,,,107717,,ND
HC-25.d,,Sample,,,,,105115,,ND
HC-26.d,,Sample,,,,,106642,,ND
HC-27.d,,Sample,,,,,104667,,ND
HC-28.d,,Sample,,,,,104052,,ND
HC-29.d,,Sample,,,,,101844,,ND
HC-30.d,,Sample,,,,,101219,,ND
MBK-2.d,,Blank,,,,,100340,,ND
