"Sample ID","Type","Conc","WL220.0","Comments"
"MBK","Unknown",-0.0515,0.0025,""
"FBK","Unknown",-0.0542,0.0019,""
"표준용액(1.0mg/L)","Unknown",0.7539,0.1737,""
"중흥 농축여액","Unknown",1.2891,0.2875,""
"중흥 탈리액","Unknown",1.2884,0.2873,""
"중흥 유입수","Unknown",1.2923,0.2882,""
"중흥 유량조정조","Unknown",1.2937,0.2885,""
"중흥 기존 무산소조 유입","Unknown",1.7174,0.3785,""
"중흥 증설 무산소조 유입","Unknown",1.4791,0.3279,""
"중흥 침전지","Unknown",0.5444,0.1292,""
"중흥 약품응집침전지","Unknown",0.5823,0.1372,""
"중흥 증설 침전지","Unknown",0.9438,0.2141,""
"중흥 증설 약품응집침전지","Unknown",0.6456,0.1507,""
"중흥 여과기","Unknown",0.6736,0.1566,""
"중흥 활성탄","Unknown",0.6311,0.1476,""
"중흥 방류수","Unknown",0.5309,0.1263,""
"월내 농축여액","Unknown",0.6443,0.1504,""
"월내 탈리액","Unknown",0.5715,0.1349,""
"월내 유입수","Unknown",0.5329,0.1267,""
"CCV(ST3, 1.0mg/L)","Unknown",0.9340,0.2120,""
"월내 유량조정조","Unknown",1.1472,0.2573,""
"월내 침전지","Unknown",0.6038,0.1418,""
"월내 가압부상지","Unknown",0.5856,0.1379,""
"월내 방류수","Unknown",0.5336,0.1269,""
"4단계 농축여액","Unknown",1.5041,0.3332,""
"4단계 탈리액","Unknown",1.3758,0.3059,""
"4단계 유입수","Unknown",1.5099,0.3344,""
"4단계 유량조정조","Unknown",1.9675,0.4317,""
"4단계 고속침전지","Unknown",0.5878,0.1384,""
"4단계 복합처리설비","Unknown",0.5170,0.1233,""
"4단계 방류수","Unknown",0.5368,0.1276,""
"율촌 유입수","Unknown",1.2947,0.2887,""
"율촌 분배조","Unknown",0.9514,0.2157,""
"율촌 고속응집침전지, 후(기존)","Unknown",0.8930,0.2033,""
"율촌 고속응집침전지, 후(증설)","Unknown",0.7575,0.1745,""
"율촌 방류수","Unknown",0.5943,0.1398,""
"세풍 유입수","Unknown",0.5224,0.1245,""
"세풍 분배조","Unknown",0.5972,0.1404,""
"CCV*(ST3, 1.0mg/L)","Unknown",1.0359,0.2337,""
"세풍 방류수","Unknown",0.9927,0.2245,""
"24시펌프장","Unknown",1.1467,0.2572,""
"07시펌프장","Unknown",1.0435,0.2353,""
"사후매립장","Unknown",5.2205,1.1232,""
"월내유입*","Unknown",1.2927,0.2882,""
"CCV**(ST3, 1.0mg/L)","Unknown",1.0051,0.2271,""
