Batch Data Path,"D:\DATA\2026년\1. 2026년 1월\VOC10(HS 1.21, HC 1.22)\QuantResults\VOC10.batch.bin"
Analysis Time,2026-01-26 오후 1:50:45,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-01-26 오후 1:50:45,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.002,,8861,,2443,,0.018
VOC10 ST-02.D,,Cal,4.996,,24207,,2252,,0.028
VOC10 ST-03.D,,Cal,4.996,,69562,,2335,,0.056
VOC10 ST-04.D,,Cal,4.996,,128732,,2502,,0.088
VOC10 ST-05.D,,Cal,4.996,,299810,,2689,,0.175
VOC3 ST-06.D,,Cal,4.996,,728350,,2650,,0.414
BK-.D,,Blank,,,,,2623,,ND
FBK(HC 25-01-22).D,,Blank,,,,,2464,,ND
FBK(HS 25-01-21).D,,Blank,,,,,2356,,ND
HS(25-01-21).D,,Sample,,,,,5263,,ND
HC-01.D,,Sample,,,,,2814,,ND
HC-02.D,,Sample,,,,,2874,,ND
HC-03.D,,Sample,,,,,2944,,ND
HC-04.D,,Sample,,,,,2863,,ND
HC-05.D,,Sample,,,,,3013,,ND
HC-06.D,,Sample,,,,,3145,,ND
HC-07.D,,Sample,,,,,3061,,ND
HC-08.D,,Sample,,,,,2914,,ND
HC-09.D,,Sample,,,,,3395,,ND
HC-11.D,,Sample,,,,,2864,,ND
HC-12.D,,Sample,,,,,2964,,ND
HC-13.D,,Sample,,,,,3003,,ND
HC-14.D,,Sample,,,,,2961,,ND
HC-15.D,,Sample,,,,,3166,,ND
HC-16.D,,Sample,,,,,3431,,ND
MBK-1.D,,Blank,,,,,3156,,ND
C-C-V-1.D,,QC,4.996,,304009,,2671,,0.179
HC-17.D,,Sample,,,,,3727,,ND
HC-18.D,,Sample,,,,,3872,,ND
HC-19.D,,Sample,,,,,3613,,ND
HC-20.D,,Sample,,,,,3431,,ND
HC-21.D,,Sample,,,,,3249,,ND
HC-22.D,,Sample,,,,,3157,,ND
HC-23.D,,Sample,,,,,3201,,ND
HC-24.D,,Sample,,,,,3125,,ND
HC-25.D,,Sample,,,,,3409,,ND
HC-27(R).D,,Sample,,,,,3596,,ND
HC-30.D,,Sample,,,,,3338,,ND
HC-26.D,,Sample,,,,,1440,,ND
HC-27.D,,Sample,,,,,1366,,ND
HC-28.D,,Sample,,,,,2842,,ND
HC-29.D,,Sample,,,,,4871,,ND
MBK-2.D,,Blank,,,,,3105,,ND
C-C-V-2.D,,QC,4.996,,455329,,3633,,0.196
KM-01.D,,Sample,,,,,3374,,ND
KM-02.D,,Sample,,,,,2999,,ND
KM-03.D,,Sample,,,,,3549,,ND
KM-04.D,,Sample,,,,,3248,,ND
HC-19 RR.D,,Sample,,,,,3741,,ND
MBK-3.D,,Blank,,,,,3015,,ND
CCV-3.D,,QC,4.996,,321996,,2951,,0.172
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.153,,10968,,2443,,0.008
VOC10 ST-02.D,,Cal,5.153,,20369,,2252,,0.020
VOC10 ST-03.D,,Cal,5.153,,52907,,2335,,0.055
VOC10 ST-04.D,,Cal,5.153,,104277,,2502,,0.103
VOC10 ST-05.D,,Cal,5.153,,205520,,2689,,0.191
VOC3 ST-06.D,,Cal,5.153,,423661,,2650,,0.403
BK-.D,,Blank,,,,,2623,,ND
FBK(HC 25-01-22).D,,Blank,,,,,2464,,ND
FBK(HS 25-01-21).D,,Blank,,,,,2356,,ND
HS(25-01-21).D,,Sample,5.153,,9987,,5263,,0.002
HC-01.D,,Sample,,,,,2814,,ND
HC-02.D,,Sample,,,,,2874,,ND
HC-03.D,,Sample,,,,,2944,,ND
HC-04.D,,Sample,,,,,2863,,ND
HC-05.D,,Sample,,,,,3013,,ND
