Batch Data Path,"D:\DATA\2026년\2. 2026년 2월\VOC10(KD 2.4, JR 2.5,2.6)\QuantResults\VOC10.batch.bin"
Analysis Time,2026-02-10 오후 1:52:07,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-10 오후 1:52:06,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.996,,20105,,16051,,0.014
VOC10 ST-02.D,,Cal,4.991,,38197,,12504,,0.022
VOC10 ST-03.D,,Cal,4.990,,94406,,11526,,0.046
VOC10 ST-04.D,,Cal,4.991,,177417,,10258,,0.087
VOC10 ST-05.D,,Cal,4.991,,483248,,10713,,0.214
VOC10 ST-06.D,,Cal,4.991,,718519,,8417,,0.397
BK-.D,,Blank,,,,,11212,,ND
FBK(KD 26-02-04).D,,Blank,,,,,11783,,ND
FBK(JR 26-02-05).D,,Blank,,,,,8870,,ND
KD-01.D,,Sample,,,,,18298,,ND
KD-02.D,,Sample,,,,,10042,,ND
KD-04.D,,Sample,,,,,13968,,ND
JR-01.D,,Sample,,,,,11632,,ND
JR-02.D,,Sample,,,,,8462,,ND
JR-03.D,,Sample,,,,,9275,,ND
JR-04.D,,Sample,,,,,9370,,ND
JR-05.D,,Sample,,,,,9070,,ND
JR-06.D,,Sample,,,,,9040,,ND
JR-07.D,,Sample,,,,,9207,,ND
JR-08.D,,Sample,,,,,9194,,ND
JR 26-02-06.D,,Sample,,,,,8205,,ND
KD-04 R.D,,Sample,,,,,8046,,ND
JR-02 R.D,,Sample,,,,,8697,,ND
MBK.D,,Blank,,,,,8990,,ND
CCV.D,,QC,4.991,,287779,,8082,,0.170
-CCV-.D,,QC,4.991,,385905,,6867,,0.264
Chloroform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.720,,40500,,16051,,0.010
VOC10 ST-02.D,,Cal,5.720,,49377,,12504,,0.018
VOC10 ST-03.D,,Cal,5.715,,98015,,11526,,0.045
VOC10 ST-04.D,,Cal,5.715,,168598,,10258,,0.091
VOC10 ST-05.D,,Cal,5.715,,383670,,10713,,0.204
VOC10 ST-06.D,,Cal,5.715,,581096,,8417,,0.398
BK-.D,,Blank,5.720,,17347,,11212,,0.004
FBK(KD 26-02-04).D,,Blank,5.715,,14652,,11783,,0.002
FBK(JR 26-02-05).D,,Blank,5.720,,13213,,8870,,0.004
KD-01.D,,Sample,,,,,18298,,ND
KD-02.D,,Sample,,,,,10042,,ND
KD-04.D,,Sample,,,,,13968,,ND
JR-01.D,,Sample,,,,,11632,,ND
JR-02.D,,Sample,5.720,,15863,,8462,,0.006
JR-03.D,,Sample,5.720,,34302,,9275,,0.017
JR-04.D,,Sample,5.720,,34626,,9370,,0.017
JR-05.D,,Sample,5.720,,23039,,9070,,0.010
JR-06.D,,Sample,5.720,,0,,9040,,ND
JR-07.D,,Sample,,,,,9207,,ND
JR-08.D,,Sample,5.720,,22303,,9194,,0.009
JR 26-02-06.D,,Sample,,,,,8205,,ND
KD-04 R.D,,Sample,5.715,,10227,,8046,,0.049
JR-02 R.D,,Sample,5.715,,14355,,8697,,0.047
MBK.D,,Blank,5.720,,13020,,8990,,0.003
CCV.D,,QC,5.715,,239793,,8082,,0.168
-CCV-.D,,QC,5.715,,253142,,6867,,0.210
Carbon Chloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,22306,,16051,,0.015
VOC10 ST-02.D,,Cal,5.922,,40402,,12504,,0.023
VOC10 ST-03.D,,Cal,5.915,,98827,,11526,,0.045
VOC10 ST-04.D,,Cal,5.922,,182574,,10258,,0.084
VOC10 ST-05.D,,Cal,5.916,,526116,,10713,,0.216
VOC10 ST-06.D,,Cal,5.922,,771448,,8417,,0.396
BK-.D,,Blank,,,,,11212,,ND
FBK(KD 26-02-04).D,,Blank,,,,,11783,,ND
FBK(JR 26-02-05).D,,Blank,,,,,8870,,ND
KD-01.D,,Sample,,,,,18298,,ND
KD-02.D,,Sample,,,,,10042,,ND
KD-04.D,,Sample,,,,,13968,,ND
JR-01.D,,Sample,,,,,11632,,ND
JR-02.D,,Sample,,,,,8462,,ND
JR-03.D,,Sample,,,,,9275,,ND
JR-04.D,,Sample,,,,,9370,,ND
JR-05.D,,Sample,,,,,9070,,ND
JR-06.D,,Sample,,,,,9040,,ND
JR-07.D,,Sample,,,,,9207,,ND
