Batch Data Path,D:\DATA\2026년\2. 2026년 2월\VOC10(HS 2.25 DL 2.26 LT 2.26 PL 2.27) R\QuantResults\VOC10.batch.bin
Analysis Time,2026-03-01 오전 9:38:23,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-01 오전 9:38:23,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.996,,7759,,2115,,0.015
VOC10 ST-02.D,,Cal,4.991,,17987,,2120,,0.024
VOC10 ST-03.D,,Cal,4.996,,45513,,2050,,0.049
VOC10 ST-04.D,,Cal,4.996,,107278,,2198,,0.098
VOC10 ST-05.D,,Cal,4.991,,196263,,2043,,0.185
VOC10 ST-06.D,,Cal,4.991,,363814,,1675,,0.408
BK-.D,,Blank,,,,,2288,,ND
FBK(HS 26-02-25).D,,Blank,,,,,1949,,ND
FBK(DL 26-02-26).D,,Blank,,,,,1952,,ND
FBK(LT 26-02-26).D,,Blank,,,,,2932,,ND
FBK(PL 26-02-27).D,,Blank,,,,,2751,,ND
HS 26-02-25.D,,Sample,,,,,1971,,ND
PL-01.D,,Sample,,,,,1969,,ND
PL-02.D,,Sample,,,,,1858,,ND
DL-01.D,,Sample,,,,,2651,,ND
DL-02.D,,Sample,,,,,2076,,ND
LT-01.D,,Sample,,,,,1977,,ND
LT-02.D,,Sample,,,,,799,,ND
LT-03.D,,Sample,,,,,2282,,ND
LT-02 R.D,,Sample,,,,,1960,,ND
MBK.D,,Blank,,,,,2255,,ND
CCV-.D,,QC,4.996,,163911,,1702,,0.185
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.153,,17638,,2115,,0.009
VOC10 ST-02.D,,Cal,5.153,,20065,,2120,,0.019
VOC10 ST-03.D,,Cal,5.153,,27911,,2050,,0.054
VOC10 ST-04.D,,Cal,5.153,,41654,,2198,,0.099
VOC10 ST-05.D,,Cal,5.153,,62948,,2043,,0.198
VOC10 ST-06.D,,Cal,5.148,,91890,,1675,,0.401
BK-.D,,Blank,5.153,,16058,,2288,,0.000
FBK(HS 26-02-25).D,,Blank,5.153,,13915,,1949,,0.000
FBK(DL 26-02-26).D,,Blank,5.153,,13453,,1952,,0.000
FBK(LT 26-02-26).D,,Blank,5.153,,13335,,2932,,0.000
FBK(PL 26-02-27).D,,Blank,5.148,,12724,,2751,,0.000
HS 26-02-25.D,,Sample,5.153,,31280,,1971,,0.073
PL-01.D,,Sample,5.153,,43254,,1969,,0.124
PL-02.D,,Sample,5.148,,35295,,1858,,0.099
DL-01.D,,Sample,5.158,,28901,,2651,,0.031
DL-02.D,,Sample,5.153,,38573,,2076,,0.096
LT-01.D,,Sample,5.148,,22418,,1977,,0.035
LT-02.D,,Sample,5.153,,23518,,799,,0.187
LT-03.D,,Sample,5.153,,20671,,2282,,0.016
LT-02 R.D,,Sample,5.153,,21520,,1960,,0.633
MBK.D,,Blank,5.153,,13057,,2255,,0.000
CCV-.D,,QC,5.153,,44592,,1702,,0.160
Chloroform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.720,,5776,,2115,,0.011
VOC10 ST-02.D,,Cal,5.720,,12140,,2120,,0.021
VOC10 ST-03.D,,Cal,5.720,,28710,,2050,,0.050
VOC10 ST-04.D,,Cal,5.720,,63571,,2198,,0.101
VOC10 ST-05.D,,Cal,5.720,,114273,,2043,,0.194
VOC10 ST-06.D,,Cal,5.715,,195816,,1675,,0.403
BK-.D,,Blank,,,,,2288,,ND
FBK(HS 26-02-25).D,,Blank,,,,,1949,,ND
FBK(DL 26-02-26).D,,Blank,,,,,1952,,ND
FBK(LT 26-02-26).D,,Blank,,,,,2932,,ND
FBK(PL 26-02-27).D,,Blank,,,,,2751,,ND
HS 26-02-25.D,,Sample,,,,,1971,,ND
PL-01.D,,Sample,,,,,1969,,ND
PL-02.D,,Sample,,,,,1858,,ND
DL-01.D,,Sample,,,,,2651,,ND
DL-02.D,,Sample,5.720,,3871,,2076,,0.008
LT-01.D,,Sample,,,,,1977,,ND
LT-02.D,,Sample,,,,,799,,ND
LT-03.D,,Sample,,,,,2282,,ND
LT-02 R.D,,Sample,,,,,1960,,ND
MBK.D,,Blank,,,,,2255,,ND
CCV-.D,,QC,5.720,,81783,,1702,,0.167
Carbon Chloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,4849,,2115,,0.015
VOC10 ST-02.D,,Cal,5.922,,11407,,2120,,0.024
VOC10 ST-03.D,,Cal,5.922,,29227,,2050,,0.050
VOC10 ST-04.D,,Cal,5.922,,67707,,2198,,0.099
VOC10 ST-05.D,,Cal,5.922,,123454,,2043,,0.185
VOC10 ST-06.D,,Cal,5.922,,227678,,1675,,0.407
BK-.D,,Blank,,,,,2288,,ND
FBK(HS 26-02-25).D,,Blank,,,,,1949,,ND
FBK(DL 26-02-26).D,,Blank,,,,,1952,,ND
FBK(LT 26-02-26).D,,Blank,,,,,2932,,ND
FBK(PL 26-02-27).D,,Blank,,,,,2751,,ND
HS 26-02-25.D,,Sample,,,,,1971,,ND
PL-01.D,,Sample,,,,,1969,,ND
PL-02.D,,Sample,,,,,1858,,ND
DL-01.D,,Sample,,,,,2651,,ND
DL-02.D,,Sample,,,,,2076,,ND
LT-01.D,,Sample,,,,,1977,,ND
LT-02.D,,Sample,,,,,799,,ND
LT-03.D,,Sample,,,,,2282,,ND
LT-02 R.D,,Sample,,,,,1960,,ND
MBK.D,,Blank,,,,,2255,,ND
CCV-.D,,QC,5.922,,107224,,1702,,0.193
"1,2-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.986,,3571,,2115,,0.010
VOC10 ST-02.D,,Cal,5.986,,7784,,2120,,0.021
VOC10 ST-03.D,,Cal,5.987,,18358,,2050,,0.050
VOC10 ST-04.D,,Cal,5.986,,39984,,2198,,0.101
VOC10 ST-05.D,,Cal,5.987,,72355,,2043,,0.196
VOC10 ST-06.D,,Cal,5.980,,122049,,1675,,0.402
BK-.D,,Blank,,,,,2288,,ND
FBK(HS 26-02-25).D,,Blank,,,,,1949,,ND
FBK(DL 26-02-26).D,,Blank,,,,,1952,,ND
FBK(LT 26-02-26).D,,Blank,6.083,,0,,2932,,ND
FBK(PL 26-02-27).D,,Blank,,,,,2751,,ND
HS 26-02-25.D,,Sample,,,,,1971,,ND
PL-01.D,,Sample,,,,,1969,,ND
PL-02.D,,Sample,,,,,1858,,ND
DL-01.D,,Sample,,,,,2651,,ND
DL-02.D,,Sample,,,,,2076,,ND
LT-01.D,,Sample,,,,,1977,,ND
