Batch Data Path,D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\QuantResults\VOC10.batch.bin
Analysis Time,2026-03-06 오후 5:30:33,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-06 오후 5:30:32,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.991,,6007,,1597,,0.012
VOC10 ST-02.D,,Cal,4.991,,11138,,1493,,0.020
VOC10 ST-03.D,,Cal,4.991,,36707,,1930,,0.043
VOC10 ST-04.D,,Cal,4.996,,72409,,1644,,0.093
VOC10 ST-05.D,,Cal,4.990,,141725,,1335,,0.218
VOC10 ST-06.D,,Cal,4.991,,286865,,1480,,0.394
BK-.D,,Blank,,,,,2907,,ND
FBK(KD 26-03-04).D,,Blank,,,,,2266,,ND
FBK(RE 26-03-04).D,,Blank,,,,,2305,,ND
JR(26-03-05).D,,Sample,,,,,2473,,ND
RE-01.D,,Sample,5.039,,0,,2529,,ND
RE-02.D,,Sample,,,,,2080,,ND
RE-03.D,,Sample,5.039,,0,,2626,,ND
RE-04.D,,Sample,,,,,2294,,ND
RE-09.D,,Sample,,,,,2391,,ND
RE-10.D,,Sample,,,,,2256,,ND
RE-11.D,,Sample,,,,,2420,,ND
RE-12.D,,Sample,,,,,2469,,ND
KD-01.D,,Sample,,,,,2295,,ND
KD-02.D,,Sample,,,,,2643,,ND
KD-03.D,,Sample,,,,,2786,,ND
RE-03 R.D,,Sample,,,,,2897,,ND
MBK.D,,Blank,,,,,2409,,ND
-CCV-.D,,QC,4.996,,189152,,1829,,0.212
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.147,,21578,,1597,,0.011
VOC10 ST-02.D,,Cal,5.148,,24448,,1493,,0.025
VOC10 ST-03.D,,Cal,5.153,,37627,,1930,,0.040
VOC10 ST-04.D,,Cal,5.153,,53485,,1644,,0.104
VOC10 ST-05.D,,Cal,5.147,,80122,,1335,,0.238
VOC10 ST-06.D,,Cal,5.148,,137750,,1480,,0.400
BK-.D,,Blank,5.148,,26806,,2907,,0.000
FBK(KD 26-03-04).D,,Blank,5.153,,23110,,2266,,0.000
FBK(RE 26-03-04).D,,Blank,5.153,,25077,,2305,,0.000
JR(26-03-05).D,,Sample,5.147,,14938,,2473,,0.000
RE-01.D,,Sample,5.153,,17110,,2529,,0.000
RE-02.D,,Sample,5.153,,24404,,2080,,0.002
RE-03.D,,Sample,5.153,,26113,,2626,,0.000
RE-04.D,,Sample,5.147,,16778,,2294,,0.000
RE-09.D,,Sample,5.153,,16314,,2391,,0.000
RE-10.D,,Sample,5.153,,16212,,2256,,0.000
RE-11.D,,Sample,5.153,,15787,,2420,,0.000
RE-12.D,,Sample,5.148,,18707,,2469,,0.000
KD-01.D,,Sample,5.153,,23938,,2295,,0.000
KD-02.D,,Sample,5.153,,27216,,2643,,0.000
KD-03.D,,Sample,5.153,,84279,,2786,,0.093
RE-03 R.D,,Sample,5.153,,78184,,2897,,0.384
MBK.D,,Blank,5.148,,21866,,2409,,0.000
-CCV-.D,,QC,5.153,,108126,,1829,,0.234
Chloroform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.715,,5794,,1597,,0.010
VOC10 ST-02.D,,Cal,5.715,,9730,,1493,,0.019
VOC10 ST-03.D,,Cal,5.720,,26930,,1930,,0.042
VOC10 ST-04.D,,Cal,5.720,,51872,,1644,,0.098
VOC10 ST-05.D,,Cal,5.715,,93851,,1335,,0.220
VOC10 ST-06.D,,Cal,5.720,,184560,,1480,,0.392
BK-.D,,Blank,,,,,2907,,ND
FBK(KD 26-03-04).D,,Blank,,,,,2266,,ND
FBK(RE 26-03-04).D,,Blank,,,,,2305,,ND
JR(26-03-05).D,,Sample,,,,,2473,,ND
RE-01.D,,Sample,5.720,,10840,,2529,,0.012
