Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Analyze Quant Version,10.2,Report Quant Version,10.2,,,,
"1,4-DCE",,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.996,,9052,,4486,,0.008
VOC10 ST-02.D,,Cal,4.996,,18414,,2904,,0.028
VOC10 ST-03.D,,Cal,4.996,,36879,,3514,,0.047
VOC10 ST-04.D,,Cal,4.991,,78075,,3313,,0.108
VOC10 ST-05.D,,Cal,4.996,,167297,,4282,,0.181
VOC10 ST-06.D,,Cal,4.996,,335317,,3818,,0.408
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,,,,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,,,,,3521,,ND
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,4.996,,169757,,3650,,0.215
DCM,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.153,,11433,,4486,,0.003
VOC10 ST-02.D,,Cal,5.153,,11071,,2904,,0.025
VOC10 ST-03.D,,Cal,5.153,,18886,,3514,,0.053
VOC10 ST-04.D,,Cal,5.148,,28590,,3313,,0.11
VOC10 ST-05.D,,Cal,5.148,,54530,,4282,,0.183
VOC10 ST-06.D,,Cal,5.153,,96603,,3818,,0.405
BK-.D,,Blank,5.153,,6610,,3913,,0
FBK(NJ 26-03-26).D,,Blank,5.153,,6327,,3529,,0
NJ-01.D,,Sample,5.153,,11216,,4407,,0.003
NJ-02.D,,Sample,5.153,,4434,,3678,,0
NJ-03.D,,Sample,5.153,,3919,,3760,,0
NJ-04.D,,Sample,5.153,,3448,,3521,,0
NJ-05.D,,Sample,5.148,,3568,,3695,,0
NJ-06.D,,Sample,5.148,,3690,,3514,,0
GS 26-03-30.D,,Sample,5.148,,2269,,3741,,0
MBK.D,,Blank,5.153,,6820,,3938,,0
-CCV-.D,,QC,5.153,,50853,,3650,,0.204
Chloroform,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.72,,7548,,4486,,0.006
VOC10 ST-02.D,,Cal,5.72,,12692,,2904,,0.023
VOC10 ST-03.D,,Cal,5.72,,30811,,3514,,0.053
VOC10 ST-04.D,,Cal,5.72,,57360,,3313,,0.109
VOC10 ST-05.D,,Cal,5.72,,122365,,4282,,0.184
VOC10 ST-06.D,,Cal,5.72,,237159,,3818,,0.406
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,5.72,,0,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,,,,,3521,,ND
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,5.72,,115029,,3650,,0.203
Carbon Chloride,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,10308,,4486,,0.008
VOC10 ST-02.D,,Cal,5.922,,21417,,2904,,0.029
VOC10 ST-03.D,,Cal,5.922,,42903,,3514,,0.048
VOC10 ST-04.D,,Cal,5.922,,89814,,3313,,0.108
VOC10 ST-05.D,,Cal,5.922,,192937,,4282,,0.179
VOC10 ST-06.D,,Cal,5.922,,390081,,3818,,0.408
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,,,,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,,,,,3521,,ND
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,5.922,,192626,,3650,,0.21
"1,2-DCE",,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.98,,3838,,4486,,0.002
VOC10 ST-02.D,,Cal,5.98,,6819,,2904,,0.022
VOC10 ST-03.D,,Cal,5.98,,16421,,3514,,0.052
VOC10 ST-04.D,,Cal,5.98,,30932,,3313,,0.113
VOC10 ST-05.D,,Cal,5.98,,64978,,4282,,0.189
VOC10 ST-06.D,,Cal,5.98,,120029,,3818,,0.402
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,,,,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,6.019,,0,,3521,,ND
NJ-05.D,,Sample,,,,,3695,,ND
NJ-06.D,,Sample,,,,,3514,,ND
GS 26-03-30.D,,Sample,,,,,3741,,ND
MBK.D,,Blank,,,,,3938,,ND
-CCV-.D,,QC,5.98,,62331,,3650,,0.214
Benzene,,,,,,,,,
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.993,,14721,,4486,,0.006
VOC10 ST-02.D,,Cal,5.993,,25849,,2904,,0.025
VOC10 ST-03.D,,Cal,5.993,,59313,,3514,,0.051
VOC10 ST-04.D,,Cal,5.993,,113385,,3313,,0.11
VOC10 ST-05.D,,Cal,5.993,,239523,,4282,,0.182
VOC10 ST-06.D,,Cal,5.993,,468424,,3818,,0.406
BK-.D,,Blank,,,,,3913,,ND
FBK(NJ 26-03-26).D,,Blank,,,,,3529,,ND
NJ-01.D,,Sample,,,,,4407,,ND
NJ-02.D,,Sample,,,,,3678,,ND
NJ-03.D,,Sample,,,,,3760,,ND
NJ-04.D,,Sample,,,,,3521,,ND
