Batch Data Path,"D:\DATA\2026년\2. 2026년 2월\VOC10(HC 1.26, 1.27, YS 1.27,28, HJ 1.28)\QuantResults\VOC10.batch.bin"
Analysis Time,2026-02-03 오후 2:44:20,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-03 오후 2:44:20,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.996,,10497,,6246,,0.020
VOC10 ST-02.D,,Cal,4.996,,27878,,5947,,0.028
VOC10 ST-03.D,,Cal,4.996,,84632,,6549,,0.051
VOC10 ST-04.D,,Cal,4.996,,178721,,6329,,0.093
VOC10 ST-05.D,,Cal,4.996,,370200,,6309,,0.176
VOC10 ST-06.D,,Cal,4.991,,826096,,5693,,0.413
BK-.D,,Blank,,,,,9531,,ND
FBK(HC 26-01-26).D,,Blank,,,,,8607,,ND
FBK(YS 26-01-27).D,,Blank,,,,,8636,,ND
FBK(YS 26-01-28).D,,Blank,,,,,9098,,ND
FBK(HJ 26-01-28).D,,Blank,,,,,9445,,ND
HC 26-01-26.D,,Sample,,,,,8354,,ND
HC 26-01-27.D,,Sample,,,,,3554,,ND
MBK-1.D,,Blank,,,,,7428,,ND
-CCV-1.D,,QC,4.996,,248808,,4914,,0.154
YS-01.D,,Sample,,,,,4552,,ND
YS-02.D,,Sample,,,,,5324,,ND
YS-03.D,,Sample,,,,,5580,,ND
YS-04.D,,Sample,,,,,6410,,ND
YS-05.D,,Sample,,,,,5884,,ND
YS-06.D,,Sample,,,,,5104,,ND
YS-07.D,,Sample,,,,,5043,,ND
YS-08.D,,Sample,,,,,219,,ND
YS-09.D,,Sample,,,,,4322,,ND
YS-10.D,,Sample,,,,,4279,,ND
YS-11.D,,Sample,,,,,3788,,ND
YS-12.D,,Sample,,,,,3979,,ND
YS-13.D,,Sample,,,,,3261,,ND
YS-14.D,,Sample,,,,,3054,,ND
YS-15.D,,Sample,,,,,2957,,ND
YS-16.D,,Sample,,,,,2987,,ND
YS-17.D,,Sample,,,,,3036,,ND
YS-18.D,,Sample,,,,,2463,,ND
MBK-2.D,,Blank,,,,,2970,,ND
-CCV-2.D,,QC,4.991,,120680,,2061,,0.176
HJ-01.D,,Sample,,,,,3247,,ND
HJ-02.D,,Sample,,,,,3017,,ND
HJ-03.D,,Sample,,,,,2795,,ND
HJ-04.D,,Sample,,,,,2272,,ND
HJ-05.D,,Sample,,,,,2237,,ND
HJ-06.D,,Sample,,,,,2866,,ND
HJ-07.D,,Sample,,,,,2952,,ND
HJ-08.D,,Sample,,,,,3021,,ND
HJ-09.D,,Sample,,,,,2374,,ND
HJ-10.D,,Sample,,,,,2480,,ND
HJ-11.D,,Sample,,,,,2289,,ND
HJ-12.D,,Sample,,,,,2087,,ND
HJ-13.D,,Sample,,,,,1949,,ND
HJ-14.D,,Sample,,,,,2082,,ND
HJ-15.D,,Sample,,,,,1878,,ND
HJ-16.D,,Sample,,,,,2150,,ND
HJ-17.D,,Sample,,,,,1606,,ND
MBK-3.D,,Blank,,,,,2965,,ND
-CCV-3.D,,QC,4.996,,144136,,2319,,0.186
HJ-02 R.D,,Sample,,,,,3323,,ND
MBK-4.D,,Blank,,,,,3757,,ND
-CCV-4.D,,QC,4.991,,206594,,3435,,0.180
Carbon Chloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,12787,,6246,,0.017
VOC10 ST-02.D,,Cal,5.922,,33143,,5947,,0.025
VOC10 ST-03.D,,Cal,5.922,,99352,,6549,,0.047
VOC10 ST-04.D,,Cal,5.922,,205254,,6329,,0.087
VOC10 ST-05.D,,Cal,5.922,,427992,,6309,,0.169
VOC10 ST-06.D,,Cal,5.922,,960120,,5693,,0.403
BK-.D,,Blank,,,,,9531,,ND
FBK(HC 26-01-26).D,,Blank,,,,,8607,,ND
FBK(YS 26-01-27).D,,Blank,,,,,8636,,ND
FBK(YS 26-01-28).D,,Blank,,,,,9098,,ND
FBK(HJ 26-01-28).D,,Blank,,,,,9445,,ND
HC 26-01-26.D,,Sample,,,,,8354,,ND
HC 26-01-27.D,,Sample,,,,,3554,,ND
MBK-1.D,,Blank,,,,,7428,,ND
-CCV-1.D,,QC,5.922,,334571,,4914,,0.170
YS-01.D,,Sample,,,,,4552,,ND
YS-02.D,,Sample,,,,,5324,,ND
YS-03.D,,Sample,,,,,5580,,ND
YS-04.D,,Sample,,,,,6410,,ND
YS-05.D,,Sample,,,,,5884,,ND
YS-06.D,,Sample,,,,,5104,,ND
YS-07.D,,Sample,,,,,5043,,ND
YS-08.D,,Sample,,,,,219,,ND
YS-09.D,,Sample,,,,,4322,,ND
YS-10.D,,Sample,,,,,4279,,ND
YS-11.D,,Sample,,,,,3788,,ND
YS-12.D,,Sample,,,,,3979,,ND
YS-13.D,,Sample,,,,,3261,,ND
YS-14.D,,Sample,,,,,3054,,ND
YS-15.D,,Sample,,,,,2957,,ND
YS-16.D,,Sample,,,,,2987,,ND
YS-17.D,,Sample,,,,,3036,,ND
YS-18.D,,Sample,,,,,2463,,ND
MBK-2.D,,Blank,,,,,2970,,ND
-CCV-2.D,,QC,5.922,,201900,,2061,,0.239
HJ-01.D,,Sample,,,,,3247,,ND
HJ-02.D,,Sample,,,,,3017,,ND
HJ-03.D,,Sample,,,,,2795,,ND
HJ-04.D,,Sample,,,,,2272,,ND
HJ-05.D,,Sample,,,,,2237,,ND
HJ-06.D,,Sample,,,,,2866,,ND
HJ-07.D,,Sample,,,,,2952,,ND
HJ-08.D,,Sample,,,,,3021,,ND
HJ-09.D,,Sample,,,,,2374,,ND
HJ-10.D,,Sample,,,,,2480,,ND
HJ-11.D,,Sample,,,,,2289,,ND
HJ-12.D,,Sample,,,,,2087,,ND
HJ-13.D,,Sample,,,,,1949,,ND
HJ-14.D,,Sample,,,,,2082,,ND
HJ-15.D,,Sample,,,,,1878,,ND
HJ-16.D,,Sample,,,,,2150,,ND
HJ-17.D,,Sample,,,,,1606,,ND
MBK-3.D,,Blank,,,,,2965,,ND
-CCV-3.D,,QC,5.922,,231971,,2319,,0.244
HJ-02 R.D,,Sample,,,,,3323,,ND
MBK-4.D,,Blank,,,,,3757,,ND
-CCV-4.D,,QC,5.922,,281606,,3435,,0.202
"1,2-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.987,,4824,,6246,,0.018
VOC10 ST-02.D,,Cal,5.986,,10275,,5947,,0.027
VOC10 ST-03.D,,Cal,5.986,,26808,,6549,,0.050
VOC10 ST-04.D,,Cal,5.986,,55458,,6329,,0.095
VOC10 ST-05.D,,Cal,5.986,,111496,,6309,,0.181
VOC10 ST-06.D,,Cal,5.987,,236531,,5693,,0.411
BK-.D,,Blank,,,,,9531,,ND
FBK(HC 26-01-26).D,,Blank,,,,,8607,,ND
FBK(YS 26-01-27).D,,Blank,,,,,8636,,ND
FBK(YS 26-01-28).D,,Blank,,,,,9098,,ND
FBK(HJ 26-01-28).D,,Blank,,,,,9445,,ND
HC 26-01-26.D,,Sample,,,,,8354,,ND
HC 26-01-27.D,,Sample,,,,,3554,,ND
MBK-1.D,,Blank,,,,,7428,,ND
-CCV-1.D,,QC,5.986,,81187,,4914,,0.169
YS-01.D,,Sample,5.973,,0,,4552,,ND
YS-02.D,,Sample,,,,,5324,,ND
YS-03.D,,Sample,,,,,5580,,ND
YS-04.D,,Sample,,,,,6410,,ND
YS-05.D,,Sample,,,,,5884,,ND
YS-06.D,,Sample,,,,,5104,,ND
YS-07.D,,Sample,,,,,5043,,ND
YS-08.D,,Sample,,,,,219,,ND
YS-09.D,,Sample,,,,,4322,,ND
YS-10.D,,Sample,,,,,4279,,ND
YS-11.D,,Sample,,,,,3788,,ND
YS-12.D,,Sample,,,,,3979,,ND
YS-13.D,,Sample,,,,,3261,,ND
YS-14.D,,Sample,,,,,3054,,ND
YS-15.D,,Sample,,,,,2957,,ND
YS-16.D,,Sample,,,,,2987,,ND
YS-17.D,,Sample,,,,,3036,,ND
YS-18.D,,Sample,,,,,2463,,ND
MBK-2.D,,Blank,,,,,2970,,ND
-CCV-2.D,,QC,5.986,,43020,,2061,,0.211
HJ-01.D,,Sample,5.961,,0,,3247,,ND
HJ-02.D,,Sample,,,,,3017,,ND
HJ-03.D,,Sample,,,,,2795,,ND
HJ-04.D,,Sample,,,,,2272,,ND
HJ-05.D,,Sample,,,,,2237,,ND
HJ-06.D,,Sample,,,,,2866,,ND
HJ-07.D,,Sample,5.993,,0,,2952,,ND
HJ-08.D,,Sample,,,,,3021,,ND
HJ-09.D,,Sample,,,,,2374,,ND
HJ-10.D,,Sample,,,,,2480,,ND
HJ-11.D,,Sample,,,,,2289,,ND
HJ-12.D,,Sample,,,,,2087,,ND
HJ-13.D,,Sample,,,,,1949,,ND
HJ-14.D,,Sample,,,,,2082,,ND
HJ-15.D,,Sample,,,,,1878,,ND
HJ-16.D,,Sample,,,,,2150,,ND
HJ-17.D,,Sample,,,,,1606,,ND
MBK-3.D,,Blank,,,,,2965,,ND
-CCV-3.D,,QC,5.986,,49529,,2319,,0.216
HJ-02 R.D,,Sample,,,,,3323,,ND
MBK-4.D,,Blank,,,,,3757,,ND
-CCV-4.D,,QC,5.986,,107652,,3435,,0.312
TCE
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,6.238,,6145,,6246,,0.020
VOC10 ST-02.D,,Cal,6.238,,15835,,5947,,0.028
VOC10 ST-03.D,,Cal,6.238,,46138,,6549,,0.050
VOC10 ST-04.D,,Cal,6.238,,97377,,6329,,0.091
VOC10 ST-05.D,,Cal,6.238,,205893,,6309,,0.177
VOC10 ST-06.D,,Cal,6.238,,457746,,5693,,0.413
BK-.D,,Blank,,,,,9531,,ND
FBK(HC 26-01-26).D,,Blank,,,,,8607,,ND
FBK(YS 26-01-27).D,,Blank,,,,,8636,,ND
FBK(YS 26-01-28).D,,Blank,,,,,9098,,ND
FBK(HJ 26-01-28).D,,Blank,,,,,9445,,ND
HC 26-01-26.D,,Sample,,,,,8354,,ND
HC 26-01-27.D,,Sample,,,,,3554,,ND
MBK-1.D,,Blank,,,,,7428,,ND
-CCV-1.D,,QC,6.232,,143806,,4914,,0.160
YS-01.D,,Sample,,,,,4552,,ND
YS-02.D,,Sample,,,,,5324,,ND
YS-03.D,,Sample,,,,,5580,,ND
YS-04.D,,Sample,,,,,6410,,ND
YS-05.D,,Sample,,,,,5884,,ND
YS-06.D,,Sample,,,,,5104,,ND
YS-07.D,,Sample,,,,,5043,,ND
YS-08.D,,Sample,,,,,219,,ND
YS-09.D,,Sample,,,,,4322,,ND
YS-10.D,,Sample,,,,,4279,,ND
YS-11.D,,Sample,,,,,3788,,ND
YS-12.D,,Sample,,,,,3979,,ND
YS-13.D,,Sample,,,,,3261,,ND
YS-14.D,,Sample,,,,,3054,,ND
YS-15.D,,Sample,,,,,2957,,ND
YS-16.D,,Sample,,,,,2987,,ND
YS-17.D,,Sample,,,,,3036,,ND
YS-18.D,,Sample,,,,,2463,,ND
MBK-2.D,,Blank,,,,,2970,,ND
-CCV-2.D,,QC,6.232,,62624,,2061,,0.166
HJ-01.D,,Sample,,,,,3247,,ND
HJ-02.D,,Sample,,,,,3017,,ND
HJ-03.D,,Sample,,,,,2795,,ND
HJ-04.D,,Sample,,,,,2272,,ND
HJ-05.D,,Sample,,,,,2237,,ND
HJ-06.D,,Sample,,,,,2866,,ND
HJ-07.D,,Sample,,,,,2952,,ND
HJ-08.D,,Sample,,,,,3021,,ND
HJ-09.D,,Sample,,,,,2374,,ND
HJ-10.D,,Sample,,,,,2480,,ND
HJ-11.D,,Sample,,,,,2289,,ND
HJ-12.D,,Sample,,,,,2087,,ND
HJ-13.D,,Sample,,,,,1949,,ND
HJ-14.D,,Sample,,,,,2082,,ND
HJ-15.D,,Sample,,,,,1878,,ND
HJ-16.D,,Sample,,,,,2150,,ND
HJ-17.D,,Sample,,,,,1606,,ND
MBK-3.D,,Blank,,,,,2965,,ND
-CCV-3.D,,QC,6.232,,71402,,2319,,0.168
HJ-02 R.D,,Sample,,,,,3323,,ND
MBK-4.D,,Blank,,,,,3757,,ND
-CCV-4.D,,QC,6.232,,137063,,3435,,0.213
Toluene
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,6.855,,23849,,6246,,0.019
VOC10 ST-02.D,,Cal,6.854,,59193,,5947,,0.028
VOC10 ST-03.D,,Cal,6.854,,165630,,6549,,0.050
VOC10 ST-04.D,,Cal,6.854,,347221,,6329,,0.093
VOC10 ST-05.D,,Cal,6.854,,718380,,6309,,0.178
VOC10 ST-06.D,,Cal,6.855,,1565593,,5693,,0.412
BK-.D,,Blank,,,,,9531,,ND
FBK(HC 26-01-26).D,,Blank,,,,,8607,,ND
FBK(YS 26-01-27).D,,Blank,,,,,8636,,ND
FBK(YS 26-01-28).D,,Blank,,,,,9098,,ND
FBK(HJ 26-01-28).D,,Blank,,,,,9445,,ND
HC 26-01-26.D,,Sample,,,,,8354,,ND
HC 26-01-27.D,,Sample,,,,,3554,,ND
MBK-1.D,,Blank,,,,,7428,,ND
-CCV-1.D,,QC,6.854,,495624,,4914,,0.160
YS-01.D,,Sample,,,,,4552,,ND
YS-02.D,,Sample,6.854,,13235,,5324,,0.017
YS-03.D,,Sample,,,,,5580,,ND
YS-04.D,,Sample,,,,,6410,,ND
YS-05.D,,Sample,,,,,5884,,ND
YS-06.D,,Sample,,,,,5104,,ND
YS-07.D,,Sample,,,,,5043,,ND
YS-08.D,,Sample,,,,,219,,ND
YS-09.D,,Sample,,,,,4322,,ND
YS-10.D,,Sample,,,,,4279,,ND
YS-11.D,,Sample,,,,,3788,,ND
YS-12.D,,Sample,,,,,3979,,ND
YS-13.D,,Sample,,,,,3261,,ND
YS-14.D,,Sample,,,,,3054,,ND
YS-15.D,,Sample,,,,,2957,,ND
YS-16.D,,Sample,,,,,2987,,ND
YS-17.D,,Sample,,,,,3036,,ND
YS-18.D,,Sample,,,,,2463,,ND
MBK-2.D,,Blank,,,,,2970,,ND
-CCV-2.D,,QC,6.854,,196831,,2061,,0.152
HJ-01.D,,Sample,,,,,3247,,ND
HJ-02.D,,Sample,6.851,,1028029,,3017,,0.507
HJ-03.D,,Sample,,,,,2795,,ND
HJ-04.D,,Sample,,,,,2272,,ND
HJ-05.D,,Sample,,,,,2237,,ND
HJ-06.D,,Sample,6.854,,6372,,2866,,0.017
HJ-07.D,,Sample,,,,,2952,,ND
HJ-08.D,,Sample,,,,,3021,,ND
HJ-09.D,,Sample,,,,,2374,,ND
HJ-10.D,,Sample,,,,,2480,,ND
HJ-11.D,,Sample,,,,,2289,,ND
HJ-12.D,,Sample,,,,,2087,,ND
HJ-13.D,,Sample,,,,,1949,,ND
HJ-14.D,,Sample,,,,,2082,,ND
