Batch Data Path,"D:\DATA\2026년\2. 2026년 2월\VOC10(GS 2.10, KH 2.10, SOL)\QuantResults\VOC10.batch.bin"
Analysis Time,2026-02-13 오후 1:42:23,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-13 오후 1:42:22,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.991,,11213,,7090,,0.015
VOC10 ST-02.D,,Cal,4.991,,23398,,7166,,0.022
VOC10 ST-03.D,,Cal,4.991,,67389,,7139,,0.050
VOC10 ST-04.D,,Cal,4.991,,126919,,6432,,0.097
VOC10 ST-05.D,,Cal,4.991,,276570,,6870,,0.191
VOC10 ST-06.D,,Cal,4.991,,503245,,5763,,0.405
BK-.D,,Blank,,,,,6763,,ND
FBK(GS 26-02-10).D,,Blank,,,,,6736,,ND
KH 26-02-10.D,,Sample,,,,,7483,,ND
GS-01.D,,Sample,,,,,11452,,ND
GS-02.D,,Sample,,,,,6868,,ND
GS-03.D,,Sample,,,,,5403,,ND
GS-04.D,,Sample,,,,,6502,,ND
GS-05.D,,Sample,,,,,5562,,ND
GS-06.D,,Sample,,,,,5161,,ND
GS-07.D,,Sample,,,,,4957,,ND
GS-08.D,,Sample,,,,,4777,,ND
GS-09.D,,Sample,,,,,5168,,ND
GS-10.D,,Sample,,,,,4466,,ND
GS-11.D,,Sample,,,,,4512,,ND
GS-12.D,,Sample,,,,,3989,,ND
GS-13.D,,Sample,,,,,3327,,ND
GS-14.D,,Sample,,,,,3476,,ND
GS-15.D,,Sample,,,,,2982,,ND
GS-16.D,,Sample,,,,,2741,,ND
MBK-1.D,,Blank,,,,,2975,,ND
-CCV-1.D,,QC,4.991,,80480,,2129,,0.180
GS-17.D,,Sample,,,,,2158,,ND
GS-18.D,,Sample,,,,,2030,,ND
GS-19.D,,Sample,,,,,2011,,ND
GS-20.D,,Sample,,,,,1904,,ND
GS-21.D,,Sample,,,,,2483,,ND
GS-22.D,,Sample,,,,,2399,,ND
GS-23.D,,Sample,,,,,2272,,ND
GS-24.D,,Sample,,,,,2395,,ND
MBK-2.D,,Blank,,,,,2335,,ND
-CCV-2.D,,QC,4.996,,64946,,1581,,0.194
SOL 01.D,,Sample,,,,,2156,,ND
