Batch Data Path,D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.17.18 HS 3.18)\QuantResults\VOC10.batch.bin
Analysis Time,2026-03-23 오전 11:09:58,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-23 오전 11:09:58,Analyze Quant Version,10.2,Report Quant Version,10.2
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.153,,18514,,2754,,0.001
VOC10 ST-02.D,,Cal,5.153,,55593,,4117,,0.015
VOC10 ST-03.D,,Cal,5.153,,128334,,3846,,0.053
VOC10 ST-04.D,,Cal,5.153,,269909,,4154,,0.114
VOC10 ST-05.D,,Cal,5.153,,564328,,4186,,0.250
VOC10 ST-06.D,,Cal,5.153,,818767,,3891,,0.396
BK-.D,,Blank,5.153,,8469,,4913,,0.000
FBK(RE 26-03-17).D,,Blank,5.148,,7761,,4647,,0.000
FBK(RE 26-03-18).D,,Blank,5.153,,8161,,4929,,0.000
FBK(HS 26-03-18).D,,Blank,5.153,,8152,,4726,,0.000
HS(26-03-18).D,,Blank,5.147,,3809,,4800,,0.000
RE-05.D,,Sample,5.147,,4585,,4844,,0.000
RE-06.D,,Sample,5.153,,3665,,3704,,0.000
RE-13.D,,Sample,5.153,,3248,,4024,,0.000
RE-14.D,,Sample,5.148,,3165,,4163,,0.000
RE-15.D,,Sample,5.153,,3097,,4351,,0.000
RE-16.D,,Sample,5.153,,3047,,4177,,0.000
RE-24.D,,Sample,5.153,,3613,,4158,,0.000
RE-25.D,,Sample,5.147,,3037,,3851,,0.000
MBK.D,,Blank,5.153,,7745,,4335,,0.000
CCV-.D,,QC,5.148,,494033,,3922,,0.233
Chloroform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.720,,5821,,2754,,0.013
VOC10 ST-02.D,,Cal,5.720,,17449,,4117,,0.021
VOC10 ST-03.D,,Cal,5.720,,42187,,3846,,0.049
VOC10 ST-04.D,,Cal,5.720,,91640,,4154,,0.096
VOC10 ST-05.D,,Cal,5.720,,197123,,4186,,0.200
VOC10 ST-06.D,,Cal,5.720,,372099,,3891,,0.401
BK-.D,,Blank,,,,,4913,,ND
FBK(RE 26-03-17).D,,Blank,,,,,4647,,ND
FBK(RE 26-03-18).D,,Blank,,,,,4929,,ND
FBK(HS 26-03-18).D,,Blank,,,,,4726,,ND
HS(26-03-18).D,,Blank,,,,,4800,,ND
RE-05.D,,Sample,,,,,4844,,ND
RE-06.D,,Sample,,,,,3704,,ND
RE-13.D,,Sample,,,,,4024,,ND
RE-14.D,,Sample,,,,,4163,,ND
RE-15.D,,Sample,5.720,,0,,4351,,ND
RE-16.D,,Sample,,,,,4177,,ND
RE-24.D,,Sample,,,,,4158,,ND
RE-25.D,,Sample,,,,,3851,,ND
MBK.D,,Blank,,,,,4335,,ND
CCV-.D,,QC,5.720,,192248,,3922,,0.208
Carbon Chloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,8381,,2754,,0.016
VOC10 ST-02.D,,Cal,5.922,,20412,,4117,,0.022
VOC10 ST-03.D,,Cal,5.922,,51397,,3846,,0.049
VOC10 ST-04.D,,Cal,5.922,,117444,,4154,,0.097
VOC10 ST-05.D,,Cal,5.922,,242098,,4186,,0.192
VOC10 ST-06.D,,Cal,5.922,,480978,,3891,,0.405
BK-.D,,Blank,,,,,4913,,ND
FBK(RE 26-03-17).D,,Blank,,,,,4647,,ND
FBK(RE 26-03-18).D,,Blank,,,,,4929,,ND
FBK(HS 26-03-18).D,,Blank,,,,,4726,,ND
HS(26-03-18).D,,Blank,,,,,4800,,ND
RE-05.D,,Sample,,,,,4844,,ND
RE-06.D,,Sample,,,,,3704,,ND
RE-13.D,,Sample,,,,,4024,,ND
RE-14.D,,Sample,,,,,4163,,ND
RE-15.D,,Sample,,,,,4351,,ND
RE-16.D,,Sample,,,,,4177,,ND
RE-24.D,,Sample,,,,,4158,,ND
RE-25.D,,Sample,,,,,3851,,ND
MBK.D,,Blank,,,,,4335,,ND
CCV-.D,,QC,5.922,,251482,,3922,,0.213
"1,2-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.987,,2703,,2754,,0.012
VOC10 ST-02.D,,Cal,5.987,,8425,,4117,,0.021
VOC10 ST-03.D,,Cal,5.986,,20447,,3846,,0.051
VOC10 ST-04.D,,Cal,5.986,,43266,,4154,,0.096
