Batch Data Path,"D:\DATA\2026년\1. 2026년 1월\VOC3(HC 1.22, 1.26)\QuantResults\VOC3.batch.bin"
Analysis Time,2026-02-02 오후 3:22:38,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-02 오후 3:22:38,Analyze Quant Version,10.2,Report Quant Version,10.2
Vinylchloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC3 ST-01.D,,Cal,4.831,,4563,,1825,,0.000
VOC3 ST-02.D,,Cal,4.831,,9104,,1872,,0.004
VOC3 ST-03.D,,Cal,4.831,,40559,,1568,,0.051
VOC3 ST-04.D,,Cal,4.831,,80325,,1549,,0.108
VOC3 ST-05.D,,Cal,4.831,,163465,,1671,,0.209
VOC3 ST-06.D,,Cal,4.831,,310646,,1711,,0.394
BK-.D,,Blank,,,,,1736,,ND
FBK(HC 26-01-22).D,,Blank,,,,,1424,,ND
FBK(HC 26-01-26).D,,Blank,,,,,1546,,ND
FBK(HC 26-01-26 ) .D,,Blank,,,,,1358,,ND
LDPE 26-01-26.D,,Sample,4.831,,0,,1236,,ND
HC 26-01-26.D,,Sample,,,,,1207,,ND
HC-01.D,,Sample,,,,,1210,,ND
HC-02.D,,Sample,,,,,1196,,ND
HC-03.D,,Sample,,,,,1275,,ND
HC-04.D,,Sample,,,,,1165,,ND
HC-05.D,,Sample,,,,,1233,,ND
HC-06.D,,Sample,,,,,1180,,ND
HC-07.D,,Sample,4.831,,0,,1339,,ND
HC-08.D,,Sample,,,,,1190,,ND
HC-09.D,,Sample,,,,,1189,,ND
HC-11.D,,Sample,,,,,1180,,ND
HC-12.D,,Sample,,,,,1233,,ND
HC-13.D,,Sample,,,,,842,,ND
HC-14.D,,Sample,,,,,818,,ND
MBK-1.D,,Blank,,,,,1009,,ND
-CCV-1.D,,QC,4.831,,134544,,1553,,0.184
HC-15.D,,Sample,,,,,928,,ND
HC-16.D,,Sample,,,,,875,,ND
HC-17.D,,Sample,,,,,1094,,ND
HC-18.D,,Sample,,,,,1217,,ND
HC-19.D,,Sample,,,,,1380,,ND
HC-20.D,,Sample,,,,,1063,,ND
HC-21.D,,Sample,,,,,1038,,ND
HC-22.D,,Sample,,,,,1169,,ND
HC-23.D,,Sample,,,,,1080,,ND
HC-24.D,,Sample,,,,,2203,,ND
HC-25.D,,Sample,,,,,1086,,ND
HC-26.D,,Sample,,,,,1568,,ND
HC-27.D,,Sample,,,,,1001,,ND
HC-28.D,,Sample,4.831,,5860,,1858,,0.001
HC-29.D,,Sample,4.831,,63897,,1377,,0.096
HC-30.D,,Sample,4.831,,0,,1218,,ND
MBK-2.D,,Blank,,,,,1407,,ND
-CCV-2.D,,QC,4.831,,79949,,1042,,0.163
GM-01.D,,Sample,,,,,1366,,ND
GM-02.D,,Sample,,,,,1240,,ND
GM-03.D,,Sample,,,,,1189,,ND
GM-04.D,,Sample,,,,,1223,,ND
HC-26 R.D,,Sample,,,,,865,,ND
HC-27 R.D,,Sample,,,,,941,,ND
HC-28 R.D,,Sample,,,,,901,,ND
MBK-3.D,,Blank,,,,,836,,ND
CCV-3.D,,QC,4.831,,84166,,1075,,0.166
Acrylonitrile
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC3 ST-01.D,,Cal,6.499,,173,,1825,,0.003
VOC3 ST-02.D,,Cal,6.511,,351,,1872,,0.008
VOC3 ST-03.D,,Cal,6.511,,1586,,1568,,0.052
VOC3 ST-04.D,,Cal,6.511,,3041,,1549,,0.103
VOC3 ST-05.D,,Cal,6.511,,6353,,1671,,0.201
