[Header]	
System	TOC-L +ASL-L	
S/W Version	1.00	
User		
Date/Time	2026-01-21 오후 1:02:50	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	NPOC	ST	ST	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal		1.00		2026-03-04 오전 11:00:00	1	1	NPOC	0.000	0.000	 	0	50	
Standard	NPOC	ST	ST	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal		1.00		2026-03-04 오전 11:11:08	2	1	NPOC	28.97	5.000	 	0	50	
Standard	NPOC	ST	ST	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal		1.00		2026-03-04 오전 11:21:09	3	1	NPOC	62.31	10.00	 	0	50	
Standard	NPOC	ST	ST	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal		1.00		2026-03-04 오전 11:31:46	4	1	NPOC	309.6	50.00	 	0	50	
Standard	NPOC	ST	ST	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal		1.00		2026-03-04 오전 11:41:49	5	1	NPOC	631.0	100.0	 	0	50	
Unknown	NPOC	DW	NPOC	C:\TOC-L\Methods\처리장 NPOC.met	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal	1.00		2026-03-04 오전 11:51:30	1	1	NPOC	6.358	1.008	NPOC:1.008ppm	0	50	
Unknown	NPOC	DW	NPOC	C:\TOC-L\Methods\처리장 NPOC.met	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal	1.00		2026-03-04 오후 12:00:40	1	1	NPOC	2.882	0.4568	NPOC:0.4568ppm	0	50	
Unknown	NPOC	MBK	NPOC	C:\TOC-L\Methods\처리장 NPOC.met	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal	1.00		2026-03-04 오후 12:10:27	1	1	NPOC	2.768	0.4388	NPOC:0.4388ppm	0	50	
Unknown	NPOC	FBK	NPOC	C:\TOC-L\Methods\처리장 NPOC.met	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal	1.00		2026-03-04 오후 12:19:21	1	1	NPOC	3.782	0.5995	NPOC:0.5995ppm	0	50	
Unknown	NPOC	CCV	NPOC	C:\TOC-L\Methods\처리장 NPOC.met	C:\TOC-L\CalCurves\처리장NPOC.2026_03_04_10_52_32.cal	1.00		2026-03-04 오후 12:29:29	1	1	NPOC	298.5	47.32	NPOC:47.32ppm	0	50	
