"CCV(ST3) - RawData"
"Wavelength nm.","T%"
420.00,61.9583
420.10,62.0514
420.20,62.1811
420.30,62.3367
420.40,62.5015
420.50,62.6678
420.60,62.8311
420.70,62.9807
420.80,63.1241
420.90,63.2584
421.00,63.3942
421.10,63.5269
421.20,63.6642
421.30,63.7985
421.40,63.9328
421.50,64.0656
421.60,64.1953
421.70,64.3204
421.80,64.4470
421.90,64.5645
422.00,64.6866
422.10,64.8041
422.20,64.9246
422.30,65.0391
422.40,65.1535
422.50,65.2695
422.60,65.3824
422.70,65.4892
422.80,65.5975
422.90,65.7028
423.00,65.8066
423.10,65.9073
423.20,66.0049
423.30,66.0980
423.40,66.1987
423.50,66.2933
423.60,66.3849
423.70,66.4795
423.80,66.5787
423.90,66.6748
424.00,66.7664
424.10,66.8564
424.20,66.9449
424.30,67.0395
424.40,67.1280
424.50,67.2119
424.60,67.2958
424.70,67.3813
424.80,67.4622
424.90,67.5339
425.00,67.6117
425.10,67.6804
425.20,67.7490
425.30,67.8192
425.40,67.8848
425.50,67.9489
425.60,68.0069
425.70,68.0649
425.80,68.1229
425.90,68.1824
426.00,68.2404
426.10,68.2983
426.20,68.3609
426.30,68.4174
426.40,68.4708
426.50,68.5257
426.60,68.5745
426.70,68.6264
426.80,68.6752
426.90,68.7164
427.00,68.7576
427.10,68.7958
427.20,68.8416
427.30,68.8904
427.40,68.9346
427.50,68.9835
427.60,69.0292
427.70,69.0643
427.80,69.1010
427.90,69.1345
428.00,69.1696
428.10,69.2017
428.20,69.2383
428.30,69.2734
428.40,69.3069
428.50,69.3359
428.60,69.3680
428.70,69.3939
428.80,69.4199
428.90,69.4397
429.00,69.4626
429.10,69.4824
429.20,69.4962
429.30,69.5038
429.40,69.5206
429.50,69.5343
429.60,69.5465
429.70,69.5602
429.80,69.5801
429.90,69.5999
430.00,69.6121
430.10,69.6228
430.20,69.6365
430.30,69.6442
430.40,69.6548
430.50,69.6579
430.60,69.6640
430.70,69.6716
430.80,69.6762
430.90,69.6808
431.00,69.6869
431.10,69.6899
431.20,69.6884
431.30,69.6838
431.40,69.6777
431.50,69.6655
431.60,69.6533
431.70,69.6426
431.80,69.6335
431.90,69.6213
432.00,69.6152
432.10,69.6045
432.20,69.5923
432.30,69.5862
432.40,69.5740
432.50,69.5663
432.60,69.5572
432.70,69.5450
432.80,69.5328
432.90,69.5206
433.00,69.5053
433.10,69.4885
433.20,69.4717
433.30,69.4565
433.40,69.4351
433.50,69.4138
433.60,69.3970
433.70,69.3756
433.80,69.3527
433.90,69.3314
434.00,69.3100
434.10,69.2902
434.20,69.2719
434.30,69.2505
434.40,69.2261
434.50,69.2001
434.60,69.1711
434.70,69.1422
434.80,69.1055
434.90,69.0765
435.00,69.0460
435.10,69.0201
435.20,68.9880
435.30,68.9606
435.40,68.9346
435.50,68.9102
435.60,68.8843
435.70,68.8568
435.80,68.8278
435.90,68.7958
436.00,68.7668
436.10,68.7332
436.20,68.7027
436.30,68.6722
436.40,68.6386
436.50,68.6081
436.60,68.5745
436.70,68.5425
436.80,68.5089
436.90,68.4708
437.00,68.4341
437.10,68.3990
437.20,68.3609
437.30,68.3212
437.40,68.2816
437.50,68.2449
437.60,68.1992
437.70,68.1503
437.80,68.1122
437.90,68.0695
