"FBK(LG³ªÁÖ) - RawData"
"Wavelength nm.","T%"
420.00,100.4410
420.10,100.4471
420.20,100.4517
420.30,100.4593
420.40,100.4608
420.50,100.4547
420.60,100.4471
420.70,100.4410
420.80,100.4333
420.90,100.4288
421.00,100.4318
421.10,100.4379
421.20,100.4440
421.30,100.4440
421.40,100.4379
421.50,100.4364
421.60,100.4379
421.70,100.4303
421.80,100.4257
421.90,100.4211
422.00,100.4227
422.10,100.4196
422.20,100.4211
422.30,100.4211
422.40,100.4196
422.50,100.4242
422.60,100.4242
422.70,100.4242
422.80,100.4318
422.90,100.4349
423.00,100.4349
423.10,100.4410
423.20,100.4318
423.30,100.4257
423.40,100.4181
423.50,100.4105
423.60,100.4044
423.70,100.4013
423.80,100.4089
423.90,100.4059
424.00,100.4028
424.10,100.4028
424.20,100.4059
424.30,100.4044
424.40,100.4013
424.50,100.4074
424.60,100.4150
424.70,100.4211
424.80,100.4150
424.90,100.4242
425.00,100.4227
425.10,100.4135
425.20,100.4166
425.30,100.4211
425.40,100.4150
425.50,100.4196
425.60,100.4211
425.70,100.4227
425.80,100.4181
425.90,100.4150
426.00,100.4135
426.10,100.4166
426.20,100.4166
426.30,100.4074
426.40,100.4013
426.50,100.4044
426.60,100.4044
426.70,100.4013
426.80,100.4059
426.90,100.4135
427.00,100.4089
427.10,100.4059
427.20,100.4028
427.30,100.4028
427.40,100.3967
427.50,100.3952
427.60,100.3983
427.70,100.4028
427.80,100.4013
427.90,100.4044
428.00,100.4135
428.10,100.4089
428.20,100.4059
428.30,100.4105
428.40,100.4074
428.50,100.4044
428.60,100.4059
428.70,100.4089
428.80,100.4135
428.90,100.4196
429.00,100.4211
429.10,100.4196
429.20,100.4166
429.30,100.4044
429.40,100.3937
429.50,100.3876
429.60,100.3845
429.70,100.3815
429.80,100.3799
429.90,100.3830
430.00,100.3769
430.10,100.3769
430.20,100.3799
430.30,100.3891
430.40,100.3983
430.50,100.4074
430.60,100.4120
430.70,100.4150
430.80,100.4227
430.90,100.4211
431.00,100.4181
431.10,100.4166
431.20,100.4135
431.30,100.4089
431.40,100.4028
431.50,100.3967
431.60,100.3967
431.70,100.3876
431.80,100.3860
431.90,100.3799
432.00,100.3799
432.10,100.3784
432.20,100.3815
432.30,100.3799
432.40,100.3769
432.50,100.3784
432.60,100.3708
432.70,100.3723
432.80,100.3693
432.90,100.3708
433.00,100.3738
433.10,100.3738
433.20,100.3769
433.30,100.3830
433.40,100.3815
433.50,100.3860
433.60,100.3952
433.70,100.3998
433.80,100.3967
433.90,100.3891
434.00,100.3876
434.10,100.3860
434.20,100.3830
434.30,100.3799
434.40,100.3769
434.50,100.3784
434.60,100.3708
434.70,100.3693
434.80,100.3662
434.90,100.3677
435.00,100.3708
435.10,100.3677
435.20,100.3693
435.30,100.3708
435.40,100.3738
435.50,100.3769
435.60,100.3799
435.70,100.3845
435.80,100.3830
435.90,100.3799
436.00,100.3799
436.10,100.3754
436.20,100.3769
436.30,100.3784
436.40,100.3738
436.50,100.3723
436.60,100.3723
436.70,100.3738
436.80,100.3754
436.90,100.3769
437.00,100.3860
437.10,100.3845
437.20,100.3784
437.30,100.3738
437.40,100.3677
437.50,100.3601
437.60,100.3586
437.70,100.3555
437.80,100.3571
437.90,100.3571
438.00,100.3510
438.10,100.3510
438.20,100.3540
438.30,100.3571
438.40,100.3601
438.50,100.3601
438.60,100.3677
438.70,100.3677
438.80,100.3708
438.90,100.3708
439.00,100.3693
439.10,100.3708
439.20,100.3647
439.30,100.3647
439.40,100.3647
439.50,100.3662
439.60,100.3662
439.70,100.3693
439.80,100.3708
439.90,100.3662
440.00,100.3601
440.10,100.3586
440.20,100.3586
440.30,100.3586
440.40,100.3586
440.50,100.3616
440.60,100.3632
440.70,100.3555
440.80,100.3479
440.90,100.3448
441.00,100.3403
441.10,100.3418
441.20,100.3448
441.30,100.3433
441.40,100.3448
441.50,100.3448
441.60,100.3418
441.70,100.3403
441.80,100.3372
441.90,100.3418
442.00,100.3448
442.10,100.3510
442.20,100.3555
442.30,100.3540
442.40,100.3525
442.50,100.3479
442.60,100.3479
442.70,100.3403
442.80,100.3357
442.90,100.3372
443.00,100.3433
443.10,100.3525
443.20,100.3525
443.30,100.3601
443.40,100.3601
443.50,100.3632
443.60,100.3571
443.70,100.3555
443.80,100.3540
443.90,100.3586
444.00,100.3540
444.10,100.3525
444.20,100.3525
444.30,100.3510
444.40,100.3525
444.50,100.3555
444.60,100.3571
444.70,100.3616
444.80,100.3601
444.90,100.3571
445.00,100.3525
445.10,100.3555
445.20,100.3525
445.30,100.3525
445.40,100.3601
445.50,100.3586
