"LG³ªÁÖ2 - RawData"
"Wavelength nm.","T%"
420.00,56.9901
420.10,57.0099
420.20,57.0328
420.30,57.0618
420.40,57.0877
420.50,57.1121
420.60,57.1350
420.70,57.1609
420.80,57.1869
420.90,57.2098
421.00,57.2296
421.10,57.2510
421.20,57.2769
421.30,57.2983
421.40,57.3227
421.50,57.3456
421.60,57.3730
421.70,57.3975
421.80,57.4219
421.90,57.4387
422.00,57.4615
422.10,57.4829
422.20,57.5073
422.30,57.5256
422.40,57.5470
422.50,57.5699
422.60,57.5928
422.70,57.6141
422.80,57.6416
422.90,57.6645
423.00,57.6920
423.10,57.7164
423.20,57.7393
423.30,57.7621
423.40,57.7850
423.50,57.8049
423.60,57.8278
423.70,57.8476
423.80,57.8690
423.90,57.8918
424.00,57.9102
424.10,57.9315
424.20,57.9559
424.30,57.9819
424.40,58.0017
424.50,58.0276
424.60,58.0582
424.70,58.0811
424.80,58.1070
424.90,58.1390
425.00,58.1665
425.10,58.1894
425.20,58.2108
425.30,58.2306
425.40,58.2489
425.50,58.2672
425.60,58.2855
425.70,58.3069
425.80,58.3328
425.90,58.3588
426.00,58.3786
426.10,58.4061
426.20,58.4229
426.30,58.4457
426.40,58.4656
426.50,58.4885
426.60,58.5068
426.70,58.5266
426.80,58.5526
426.90,58.5739
427.00,58.5968
427.10,58.6166
427.20,58.6380
427.30,58.6594
427.40,58.6838
427.50,58.7067
427.60,58.7311
427.70,58.7585
427.80,58.7814
427.90,58.8028
428.00,58.8242
428.10,58.8455
428.20,58.8699
428.30,58.9005
428.40,58.9355
428.50,58.9600
428.60,58.9874
428.70,59.0195
428.80,59.0378
428.90,59.0546
429.00,59.0775
429.10,59.1003
429.20,59.1187
429.30,59.1324
429.40,59.1553
429.50,59.1751
429.60,59.1965
429.70,59.2178
429.80,59.2407
429.90,59.2667
430.00,59.2865
430.10,59.3109
430.20,59.3338
430.30,59.3597
430.40,59.3826
430.50,59.4070
430.60,59.4345
430.70,59.4589
430.80,59.4788
430.90,59.5047
431.00,59.5245
431.10,59.5459
431.20,59.5657
431.30,59.5917
431.40,59.6130
431.50,59.6313
431.60,59.6527
431.70,59.6725
431.80,59.6939
431.90,59.7076
432.00,59.7305
432.10,59.7534
432.20,59.7778
432.30,59.7992
432.40,59.8190
432.50,59.8450
432.60,59.8663
432.70,59.8892
432.80,59.9106
432.90,59.9380
433.00,59.9686
433.10,59.9930
433.20,60.0189
433.30,60.0449
433.40,60.0677
433.50,60.0891
433.60,60.1059
433.70,60.1273
433.80,60.1440
433.90,60.1700
434.00,60.1944
434.10,60.2203
434.20,60.2463
434.30,60.2692
434.40,60.2905
434.50,60.3104
434.60,60.3241
434.70,60.3424
434.80,60.3622
434.90,60.3867
435.00,60.4080
435.10,60.4309
435.20,60.4523
435.30,60.4721
435.40,60.4919
435.50,60.5148
435.60,60.5347
435.70,60.5560
435.80,60.5774
435.90,60.6033
436.00,60.6247
436.10,60.6476
436.20,60.6720
436.30,60.6903
436.40,60.7117
436.50,60.7300
436.60,60.7483
436.70,60.7651
436.80,60.7849
436.90,60.8078
437.00,60.8322
437.10,60.8551
437.20,60.8780
437.30,60.8978
437.40,60.9192
437.50,60.9344
437.60,60.9497
437.70,60.9665
437.80,60.9909
437.90,61.0123
438.00,61.0321
438.10,61.0565
438.20,61.0855
438.30,61.1053
438.40,61.1267
438.50,61.1481
438.60,61.1725
438.70,61.1969
438.80,61.2213
438.90,61.2411
439.00,61.2671
439.10,61.2869
439.20,61.3098
439.30,61.3327
439.40,61.3541
439.50,61.3739
439.60,61.3907
439.70,61.4090
439.80,61.4273
439.90,61.4426
440.00,61.4594
440.10,61.4838
440.20,61.5051
440.30,61.5265
440.40,61.5463
440.50,61.5662
440.60,61.5845
440.70,61.5982
440.80,61.6196
440.90,61.6379
441.00,61.6547
441.10,61.6806
441.20,61.7035
441.30,61.7233
441.40,61.7477
441.50,61.7722
441.60,61.7966
441.70,61.8179
441.80,61.8423
441.90,61.8607
442.00,61.8790
442.10,61.8973
442.20,61.9156
442.30,61.9324
442.40,61.9522
442.50,61.9766
442.60,61.9980
442.70,62.0148
442.80,62.0361
442.90,62.0605
443.00,62.0773
443.10,62.0972
443.20,62.1140
443.30,62.1338
443.40,62.1521
443.50,62.1735
443.60,62.1948
443.70,62.2162
443.80,62.2330
443.90,62.2513
444.00,62.2681
444.10,62.2833
444.20,62.3001
444.30,62.3230
444.40,62.3505
444.50,62.3749
444.60,62.3978
444.70,62.4237
444.80,62.4466
444.90,62.4588
445.00,62.4725
445.10,62.4908
445.20,62.5061
445.30,62.5214
445.40,62.5427
445.50,62.5687
445.60,62.5900
445.70,62.6099
445.80,62.6282
445.90,62.6434
446.00,62.6617
446.10,62.6801
446.20,62.7014
446.30,62.7228
446.40,62.7457
446.50,62.7655
446.60,62.7899
446.70,62.8098
446.80,62.8296
446.90,62.8494
447.00,62.8708
447.10,62.8876
447.20,62.9059
447.30,62.9242
447.40,62.9486
447.50,62.9730
447.60,62.9929
447.70,63.0127
447.80,63.0356
447.90,63.0524
448.00,63.0661
448.10,63.0829
448.20,63.0997
448.30,63.1165
448.40,63.1302
448.50,63.1454
448.60,63.1607
448.70,63.1729
448.80,63.1866
448.90,63.2065
449.00,63.2233
449.10,63.2416
449.20,63.2629
449.30,63.2874
449.40,63.3072
449.50,63.3270
449.60,63.3545
449.70,63.3759
449.80,63.3942
449.90,63.4125
450.00,63.4323
450.10,63.4521
450.20,63.4705
450.30,63.4918
450.40,63.5117
450.50,63.5300
450.60,63.5452
450.70,63.5620
450.80,63.5773
450.90,63.5925
451.00,63.6139
451.10,63.6353
451.20,63.6505
451.30,63.6688
451.40,63.6887
451.50,63.7070
451.60,63.7207
451.70,63.7375
451.80,63.7573
451.90,63.7756
452.00,63.7909
452.10,63.8092
452.20,63.8275
452.30,63.8443
452.40,63.8596
452.50,63.8763
452.60,63.8947
452.70,63.9160
452.80,63.9374
452.90,63.9557
453.00,63.9740
453.10,63.9908
453.20,64.0045
453.30,64.0198
453.40,64.0381
453.50,64.0579
453.60,64.0762
453.70,64.0976
453.80,64.1144
453.90,64.1312
454.00,64.1449
454.10,64.1617
454.20,64.1754
454.30,64.1922
454.40,64.2120
454.50,64.2334
454.60,64.2532
454.70,64.2685
454.80,64.2868
454.90,64.3036
455.00,64.3173
455.10,64.3311
455.20,64.3494
455.30,64.3707
455.40,64.3875
455.50,64.4089
455.60,64.4287
455.70,64.4531
455.80,64.4699
455.90,64.4852
456.00,64.5020
456.10,64.5172
456.20,64.5309
456.30,64.5447
456.40,64.5630
456.50,64.5844
456.60,64.5996
456.70,64.6179
456.80,64.6378
456.90,64.6530
457.00,64.6698
457.10,64.6896
457.20,64.7049
457.30,64.7232
457.40,64.7430
457.50,64.7644
457.60,64.7842
457.70,64.8071
457.80,64.8315
457.90,64.8499
458.00,64.8666
458.10,64.8834
458.20,64.8956
458.30,64.9033
458.40,64.9170
458.50,64.9338
458.60,64.9506
458.70,64.9643
458.80,64.9841
458.90,65.0055
459.00,65.0223
459.10,65.0375
459.20,65.0543
459.30,65.0696
459.40,65.0848
459.50,65.0986
459.60,65.1138
459.70,65.1260
459.80,65.1428
459.90,65.1581
460.00,65.1703
460.10,65.1932
460.20,65.2100
460.30,65.2283
460.40,65.2466
460.50,65.2695
460.60,65.2847
460.70,65.2985
460.80,65.3198
460.90,65.3397
461.00,65.3610
461.10,65.3809
461.20,65.4022
461.30,65.4221
461.40,65.4388
461.50,65.4541
461.60,65.4724
461.70,65.4922
461.80,65.5060
461.90,65.5212
462.00,65.5426
462.10,65.5579
462.20,65.5731
462.30,65.5914
462.40,65.6113
462.50,65.6281
462.60,65.6433
462.70,65.6570
462.80,65.6708
462.90,65.6860
463.00,65.7013
463.10,65.7120
463.20,65.7242
463.30,65.7379
463.40,65.7486
463.50,65.7608
463.60,65.7730
463.70,65.7898
463.80,65.8081
463.90,65.8234
464.00,65.8417
464.10,65.8600
464.20,65.8752
464.30,65.8981
464.40,65.9180
464.50,65.9393
464.60,65.9607
464.70,65.9866
464.80,66.0065
464.90,66.0248
465.00,66.0416
465.10,66.0568
465.20,66.0721
465.30,66.0889
465.40,66.1011
465.50,66.1179
465.60,66.1316
465.70,66.1423
465.80,66.1560
