"MBK - RawData"
"Wavelength nm.","T%"
420.00,100.4959
420.10,100.4959
420.20,100.4913
420.30,100.4898
420.40,100.4868
420.50,100.4852
420.60,100.4837
420.70,100.4791
420.80,100.4776
420.90,100.4684
421.00,100.4669
421.10,100.4684
421.20,100.4700
421.30,100.4623
421.40,100.4608
421.50,100.4532
421.60,100.4410
421.70,100.4410
421.80,100.4425
421.90,100.4456
422.00,100.4562
422.10,100.4684
422.20,100.4807
422.30,100.4791
422.40,100.4730
422.50,100.4700
422.60,100.4684
422.70,100.4608
422.80,100.4593
422.90,100.4608
423.00,100.4684
423.10,100.4623
423.20,100.4593
423.30,100.4501
423.40,100.4425
423.50,100.4379
423.60,100.4349
423.70,100.4379
423.80,100.4440
423.90,100.4471
424.00,100.4486
424.10,100.4532
424.20,100.4486
424.30,100.4562
424.40,100.4532
424.50,100.4486
424.60,100.4471
424.70,100.4578
424.80,100.4562
424.90,100.4578
425.00,100.4654
425.10,100.4684
425.20,100.4639
425.30,100.4608
425.40,100.4578
425.50,100.4547
425.60,100.4578
425.70,100.4593
425.80,100.4608
425.90,100.4623
426.00,100.4562
426.10,100.4532
426.20,100.4486
426.30,100.4410
426.40,100.4333
426.50,100.4303
426.60,100.4333
426.70,100.4395
426.80,100.4349
426.90,100.4410
427.00,100.4410
427.10,100.4379
427.20,100.4349
427.30,100.4303
427.40,100.4288
427.50,100.4211
427.60,100.4211
427.70,100.4242
427.80,100.4242
427.90,100.4272
428.00,100.4288
428.10,100.4303
428.20,100.4349
428.30,100.4364
428.40,100.4379
428.50,100.4395
428.60,100.4440
428.70,100.4486
428.80,100.4501
428.90,100.4532
429.00,100.4593
429.10,100.4578
429.20,100.4593
429.30,100.4608
429.40,100.4593
429.50,100.4532
429.60,100.4395
429.70,100.4364
429.80,100.4272
429.90,100.4272
430.00,100.4288
430.10,100.4272
430.20,100.4425
430.30,100.4440
430.40,100.4578
430.50,100.4715
430.60,100.4822
430.70,100.4852
430.80,100.4791
430.90,100.4745
431.00,100.4745
431.10,100.4745
431.20,100.4730
431.30,100.4700
431.40,100.4730
431.50,100.4654
431.60,100.4517
431.70,100.4440
431.80,100.4410
431.90,100.4395
432.00,100.4395
432.10,100.4379
432.20,100.4364
432.30,100.4318
432.40,100.4257
432.50,100.4303
432.60,100.4395
432.70,100.4456
432.80,100.4456
432.90,100.4547
433.00,100.4547
433.10,100.4501
433.20,100.4471
433.30,100.4471
433.40,100.4425
433.50,100.4501
433.60,100.4578
433.70,100.4593
433.80,100.4654
433.90,100.4745
434.00,100.4745
434.10,100.4730
434.20,100.4715
434.30,100.4654
434.40,100.4547
434.50,100.4547
434.60,100.4456
434.70,100.4471
434.80,100.4562
434.90,100.4578
435.00,100.4517
435.10,100.4486
435.20,100.4456
435.30,100.4333
435.40,100.4272
435.50,100.4318
435.60,100.4364
435.70,100.4364
435.80,100.4364
435.90,100.4425
436.00,100.4547
436.10,100.4593
436.20,100.4639
436.30,100.4684
436.40,100.4654
436.50,100.4623
436.60,100.4547
436.70,100.4532
436.80,100.4425
436.90,100.4425
437.00,100.4440
437.10,100.4425
437.20,100.4349
437.30,100.4333
437.40,100.4318
437.50,100.4318
437.60,100.4288
437.70,100.4242
437.80,100.4303
437.90,100.4288
438.00,100.4272
438.10,100.4257
438.20,100.4288
438.30,100.4257
438.40,100.4242
438.50,100.4288
438.60,100.4333
438.70,100.4410
438.80,100.4456
438.90,100.4471
439.00,100.4410
439.10,100.4333
439.20,100.4364
439.30,100.4379
439.40,100.4425
439.50,100.4456
439.60,100.4517
439.70,100.4501
439.80,100.4501
439.90,100.4471
440.00,100.4456
440.10,100.4456
440.20,100.4425
440.30,100.4364
440.40,100.4303
440.50,100.4303
440.60,100.4288
440.70,100.4257
440.80,100.4242
440.90,100.4272
441.00,100.4242
441.10,100.4227
441.20,100.4227
441.30,100.4288
441.40,100.4333
441.50,100.4395
441.60,100.4456
441.70,100.4501
441.80,100.4456
441.90,100.4349
442.00,100.4288
442.10,100.4227
442.20,100.4227
442.30,100.4227
442.40,100.4242
442.50,100.4288
442.60,100.4288
442.70,100.4318
442.80,100.4333
442.90,100.4410
443.00,100.4440
443.10,100.4486
443.20,100.4501
443.30,100.4471
443.40,100.4379
443.50,100.4318
443.60,100.4272
443.70,100.4288
443.80,100.4257
443.90,100.4242
444.00,100.4211
444.10,100.4227
444.20,100.4227
444.30,100.4181
444.40,100.4227
444.50,100.4288
444.60,100.4349
444.70,100.4425
444.80,100.4486
444.90,100.4532
445.00,100.4562
445.10,100.4501
445.20,100.4395
445.30,100.4364
445.40,100.4349
445.50,100.4242
445.60,100.4303
445.70,100.4318
445.80,100.4318
445.90,100.4303
446.00,100.4303
446.10,100.4303
446.20,100.4303
446.30,100.4303
446.40,100.4303
446.50,100.4333
446.60,100.4349
446.70,100.4379
446.80,100.4364
446.90,100.4425
447.00,100.4486
447.10,100.4517
447.20,100.4517
447.30,100.4547
447.40,100.4562
447.50,100.4517
447.60,100.4532
447.70,100.4486
447.80,100.4517
447.90,100.4471
448.00,100.4486
448.10,100.4440
448.20,100.4395
448.30,100.4395
448.40,100.4333
448.50,100.4288
448.60,100.4211
448.70,100.4150
448.80,100.4105
448.90,100.4120
449.00,100.4120
449.10,100.4120
449.20,100.4166
449.30,100.4211
449.40,100.4166
449.50,100.4089
449.60,100.4105
449.70,100.4181
449.80,100.4150
449.90,100.4196
450.00,100.4227
450.10,100.4272
450.20,100.4257
450.30,100.4242
450.40,100.4257
450.50,100.4257
450.60,100.4272
450.70,100.4303
450.80,100.4257
450.90,100.4196
451.00,100.4181
451.10,100.4181
451.20,100.4120
451.30,100.4135
451.40,100.4135
451.50,100.4227
451.60,100.4242
451.70,100.4257
451.80,100.4272
451.90,100.4272
452.00,100.4288
452.10,100.4272
452.20,100.4227
452.30,100.4227
452.40,100.4257
452.50,100.4288
452.60,100.4303
452.70,100.4303
452.80,100.4288
452.90,100.4257
453.00,100.4211
453.10,100.4135
453.20,100.4089
453.30,100.4089
453.40,100.4120
453.50,100.4120
453.60,100.4120
453.70,100.4105
453.80,100.4059
453.90,100.3983
454.00,100.3906
454.10,100.3891
454.20,100.3891
454.30,100.3937
454.40,100.3967
454.50,100.3998
454.60,100.4044
454.70,100.4028
454.80,100.4013
454.90,100.4044
455.00,100.4028
455.10,100.4013
455.20,100.3998
455.30,100.4028
455.40,100.4059
455.50,100.4089
455.60,100.4105
455.70,100.4150
455.80,100.4135
455.90,100.4150
456.00,100.4120
456.10,100.4135
456.20,100.4150
456.30,100.4120
456.40,100.4089
456.50,100.4089
456.60,100.4059
456.70,100.4028
456.80,100.4059
456.90,100.4089
457.00,100.4105
457.10,100.4135
457.20,100.4150
457.30,100.4135
457.40,100.4120
457.50,100.4120
457.60,100.4105
457.70,100.4120
457.80,100.4135
457.90,100.4150
458.00,100.4181
458.10,100.4196
458.20,100.4196
458.30,100.4135
458.40,100.4150
458.50,100.4105
458.60,100.4074
458.70,100.4013
458.80,100.4105
458.90,100.4105
459.00,100.4074
459.10,100.4028
459.20,100.4028
459.30,100.3952
459.40,100.3906
459.50,100.3860
459.60,100.3876
459.70,100.3922
459.80,100.3937
459.90,100.3937
460.00,100.3891
460.10,100.3906
460.20,100.3860
460.30,100.3815
460.40,100.3815
460.50,100.3815
460.60,100.3891
460.70,100.4013
460.80,100.4120
460.90,100.4196
461.00,100.4272
461.10,100.4379
461.20,100.4349
461.30,100.4272
461.40,100.4242
461.50,100.4196
461.60,100.4181
461.70,100.4211
461.80,100.4211
461.90,100.4242
462.00,100.4303
462.10,100.4318
462.20,100.4288
462.30,100.4288
462.40,100.4288
462.50,100.4272
462.60,100.4211
462.70,100.4120
462.80,100.4074
462.90,100.4028
463.00,100.3967
463.10,100.3937
463.20,100.3891
463.30,100.3815
463.40,100.3769
463.50,100.3738
463.60,100.3662
463.70,100.3632
463.80,100.3647
463.90,100.3647
464.00,100.3662
464.10,100.3662
464.20,100.3677
464.30,100.3738
464.40,100.3784
464.50,100.3799
464.60,100.3860
464.70,100.3967
464.80,100.4074
464.90,100.4105
465.00,100.4196
465.10,100.4227
465.20,100.4227
465.30,100.4181
465.40,100.4135
465.50,100.4105
465.60,100.4074
465.70,100.4044
465.80,100.3998
465.90,100.4013
466.00,100.4013
466.10,100.3998
466.20,100.3983
466.30,100.3998
466.40,100.3967
466.50,100.3998
466.60,100.4028
466.70,100.4044
466.80,100.4013
466.90,100.3998
467.00,100.4013
467.10,100.3983
467.20,100.3922
467.30,100.3922
467.40,100.3906
467.50,100.3845
467.60,100.3815
467.70,100.3738
467.80,100.3708
467.90,100.3647
468.00,100.3632
468.10,100.3616
468.20,100.3601
468.30,100.3632
468.40,100.3647
468.50,100.3662
468.60,100.3647
468.70,100.3662
468.80,100.3616
468.90,100.3632
469.00,100.3632
469.10,100.3662
469.20,100.3693
469.30,100.3723
469.40,100.3769
469.50,100.3784
469.60,100.3784
469.70,100.3784
469.80,100.3784
469.90,100.3754
470.00,100.3754
470.10,100.3738
470.20,100.3769
470.30,100.3784
470.40,100.3845
470.50,100.3815
470.60,100.3815
470.70,100.3799
470.80,100.3799
470.90,100.3784
471.00,100.3769
471.10,100.3784
471.20,100.3754
471.30,100.3754
471.40,100.3738
471.50,100.3784
471.60,100.3769
471.70,100.3738
471.80,100.3769
471.90,100.3769
472.00,100.3754
472.10,100.3784
472.20,100.3799
472.30,100.3845
472.40,100.3891
472.50,100.3906
472.60,100.3922
472.70,100.3891
472.80,100.3876
472.90,100.3876
473.00,100.3815
473.10,100.3754
473.20,100.3754
473.30,100.3723
473.40,100.3632
473.50,100.3555
473.60,100.3510
473.70,100.3464
473.80,100.3403
473.90,100.3418
474.00,100.3418
474.10,100.3464
474.20,100.3494
474.30,100.3433
474.40,100.3433
474.50,100.3464
474.60,100.3510
474.70,100.3525
474.80,100.3586
474.90,100.3662
475.00,100.3708
475.10,100.3723
475.20,100.3708
475.30,100.3738
475.40,100.3769
475.50,100.3754
475.60,100.3754
475.70,100.3784
475.80,100.3845
475.90,100.3891
476.00,100.3906
476.10,100.3937
476.20,100.3967
476.30,100.3937
476.40,100.3906
476.50,100.3876
476.60,100.3922
476.70,100.3967
476.80,100.3983
476.90,100.3983
477.00,100.3983
477.10,100.3967
477.20,100.3860
477.30,100.3784
477.40,100.3754
477.50,100.3769
477.60,100.3754
477.70,100.3708
477.80,100.3723
477.90,100.3708
478.00,100.3647
478.10,100.3571
478.20,100.3586
478.30,100.3616
478.40,100.3586
478.50,100.3632
478.60,100.3723
478.70,100.3738
478.80,100.3769
478.90,100.3799
479.00,100.3845
479.10,100.3830
479.20,100.3784
479.30,100.3738
479.40,100.3708
479.50,100.3677
479.60,100.3632
479.70,100.3571
479.80,100.3555
479.90,100.3540
480.00,100.3525
480.10,100.3494
480.20,100.3540
480.30,100.3601
480.40,100.3601
480.50,100.3601
480.60,100.3616
480.70,100.3540
480.80,100.3540
480.90,100.3525
481.00,100.3479
481.10,100.3479
481.20,100.3555
481.30,100.3586
481.40,100.3540
481.50,100.3586
481.60,100.3616
481.70,100.3632
481.80,100.3616
481.90,100.3586
482.00,100.3601
482.10,100.3494
482.20,100.3418
482.30,100.3387
482.40,100.3448
482.50,100.3448
482.60,100.3464
482.70,100.3540
482.80,100.3586
482.90,100.3586
483.00,100.3586
483.10,100.3571
483.20,100.3510
483.30,100.3448
483.40,100.3387
483.50,100.3357
483.60,100.3387
483.70,100.3387
483.80,100.3418
483.90,100.3387
484.00,100.3372
484.10,100.3403
484.20,100.3403
484.30,100.3433
484.40,100.3448
484.50,100.3494
484.60,100.3540
484.70,100.3586
484.80,100.3632
484.90,100.3647
485.00,100.3632
485.10,100.3601
485.20,100.3555
485.30,100.3494
485.40,100.3479
485.50,100.3479
485.60,100.3479
485.70,100.3479
485.80,100.3464
485.90,100.3510
486.00,100.3510
486.10,100.3555
486.20,100.3601
486.30,100.3677
486.40,100.3723
486.50,100.3738
486.60,100.3738
486.70,100.3754
486.80,100.3708
486.90,100.3632
487.00,100.3601
487.10,100.3586
487.20,100.3525
487.30,100.3464
487.40,100.3464
