"ST4 - RawData"
"Wavelength nm.","T%"
420.00,52.8824
420.10,52.9907
420.20,53.1387
420.30,53.3173
420.40,53.5019
420.50,53.6804
420.60,53.8513
420.70,54.0161
420.80,54.1748
420.90,54.3274
421.00,54.4800
421.10,54.6295
421.20,54.7821
421.30,54.9316
421.40,55.0842
421.50,55.2322
421.60,55.3787
421.70,55.5222
421.80,55.6641
421.90,55.8044
422.00,55.9402
422.10,56.0806
422.20,56.2210
422.30,56.3568
422.40,56.4896
422.50,56.6238
422.60,56.7535
422.70,56.8848
422.80,57.0114
422.90,57.1320
423.00,57.2556
423.10,57.3792
423.20,57.4966
423.30,57.6096
423.40,57.7240
423.50,57.8384
423.60,57.9498
423.70,58.0597
423.80,58.1726
423.90,58.2870
424.00,58.3923
424.10,58.4961
424.20,58.5999
424.30,58.7036
424.40,58.8058
424.50,58.9096
424.60,59.0118
424.70,59.1125
424.80,59.2087
424.90,59.2972
425.00,59.3887
425.10,59.4788
425.20,59.5673
425.30,59.6466
425.40,59.7214
425.50,59.8007
425.60,59.8724
425.70,59.9426
425.80,60.0189
425.90,60.0876
426.00,60.1532
426.10,60.2203
426.20,60.2844
426.30,60.3455
426.40,60.4034
426.50,60.4721
426.60,60.5362
426.70,60.5942
426.80,60.6537
426.90,60.7162
427.00,60.7697
427.10,60.8215
427.20,60.8780
427.30,60.9299
427.40,60.9726
427.50,61.0168
427.60,61.0611
427.70,61.1008
427.80,61.1404
427.90,61.1816
428.00,61.2259
428.10,61.2686
428.20,61.3098
428.30,61.3510
428.40,61.3922
428.50,61.4273
428.60,61.4609
428.70,61.4899
428.80,61.5219
428.90,61.5463
429.00,61.5707
429.10,61.5906
429.20,61.6135
429.30,61.6333
429.40,61.6531
429.50,61.6699
429.60,61.6867
429.70,61.7050
429.80,61.7142
429.90,61.7294
430.00,61.7401
430.10,61.7569
430.20,61.7691
430.30,61.7798
430.40,61.7905
430.50,61.8011
430.60,61.8073
430.70,61.8088
430.80,61.8164
430.90,61.8210
431.00,61.8225
431.10,61.8225
431.20,61.8210
431.30,61.8164
431.40,61.8057
431.50,61.7950
431.60,61.7905
431.70,61.7813
431.80,61.7737
431.90,61.7661
432.00,61.7569
432.10,61.7432
432.20,61.7325
432.30,61.7218
432.40,61.7050
432.50,61.6882
432.60,61.6760
432.70,61.6592
432.80,61.6394
432.90,61.6196
433.00,61.5982
433.10,61.5784
433.20,61.5585
433.30,61.5387
433.40,61.5173
433.50,61.4990
433.60,61.4777
433.70,61.4502
433.80,61.4227
433.90,61.3983
434.00,61.3693
434.10,61.3373
434.20,61.3113
434.30,61.2793
434.40,61.2473
434.50,61.2122
434.60,61.1786
434.70,61.1481
434.80,61.1160
434.90,61.0779
435.00,61.0443
435.10,61.0107
435.20,60.9756
435.30,60.9375
435.40,60.9070
435.50,60.8810
435.60,60.8475
435.70,60.8124
435.80,60.7803
435.90,60.7498
436.00,60.7117
436.10,60.6720
436.20,60.6339
436.30,60.5927
436.40,60.5499
436.50,60.5087
436.60,60.4660
436.70,60.4248
436.80,60.3867
436.90,60.3455
