Batch Data Path,D:\DATA\2026년\1. 2026년 1월\EPIC(HC 1.22 YS 1.27.28 HJ 1.28)\QuantResults\EPIC.batch.bin
Analysis Time,2026-02-02 오전 9:39:58,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-02 오전 9:39:58,Analyze Quant Version,10.2,Report Quant Version,10.2
Epichlorohydrin,,,,
Data File,Type,RT,Resp.,Final Conc.
EPIC ST-01.D,Cal,6.295,1609,0.359
EPIC ST-02.D,Cal,6.295,3111,0.534
EPIC ST-03.D,Cal,6.295,6651,0.946
EPIC ST-04.D,Cal,6.290,18439,2.319
EPIC ST-05.D,Cal,6.290,42260,5.093
BK-.D,Blank,,,ND
FBK(HC 26-01-22).D,Blank,,,ND
FBK(YS 26-01-27).D,Blank,,,ND
FBK(YS 26-01-28).D,Blank,,,ND
FBK(HJ 26-01-28).D,Blank,,,ND
HC-01.D,Sample,,,ND
HC-02.D,Sample,,,ND
HC-03.D,Sample,,,ND
HC-04.D,Sample,,,ND
HC-05.D,Sample,,,ND
HC-06.D,Sample,,,ND
HC-07.D,Sample,,,ND
HC-08.D,Sample,,,ND
HC-09.D,Sample,,,ND
HC-11.D,Sample,,,ND
HC-12.D,Sample,,,ND
HC-13.D,Sample,,,ND
MBK-1.D,Blank,,,ND
CCV-1.D,QC,6.290,18746,2.354
HC-14.D,Sample,6.375,0,ND
HC-15.D,Sample,6.375,0,ND
HC-16.D,Sample,6.386,0,ND
HC-17.D,Sample,6.375,0,ND
HC-18.D,Sample,6.375,0,ND
HC-19.D,Sample,6.375,0,ND
HC-20.D,Sample,6.381,0,ND
HC-21.D,Sample,6.381,0,ND
HC-22.D,Sample,6.381,0,ND
HC-23.D,Sample,6.381,0,ND
HC-24.D,Sample,6.375,0,ND
HC-25.D,Sample,,,ND
HC-26.D,Sample,6.365,0,ND
HC-27.D,Sample,,,ND
HC-28.D,Sample,6.370,0,ND
HC-29.D,Sample,6.386,0,ND
HC-30.D,Sample,6.386,0,ND
MBK-2.D,Blank,,,ND
C-C-V-2.D,QC,6.290,13954,1.796
YS-01.D,Sample,6.386,0,ND
YS-02.D,Sample,6.386,0,ND
YS-03.D,Sample,6.381,0,ND
YS-04.D,Sample,6.381,0,ND
YS-05.D,Sample,6.381,0,ND
YS-06.D,Sample,6.381,0,ND
YS-07.D,Sample,6.375,0,ND
YS-08.D,Sample,6.381,0,ND
YS-09.D,Sample,6.381,0,ND
YS-10.D,Sample,6.380,0,ND
YS-11.D,Sample,6.284,0,ND
YS-12.D,Sample,,,ND
YS-13.D,Sample,,,ND
YS-14.D,Sample,,,ND
YS-15.D,Sample,6.381,0,ND
YS-16.D,Sample,,,ND
YS-17.D,Sample,,,ND
YS-18.D,Sample,6.386,0,ND
MBK-3.D,Blank,,,ND
C-C-V-3.D,QC,6.290,14991,1.917
HJ-01.D,Sample,6.375,0,ND
HJ-02.D,Sample,6.386,0,ND
HJ-03.D,Sample,6.380,0,ND
HJ-04.D,Sample,6.386,0,ND
HJ-05.D,Sample,6.215,0,ND
HJ-06.D,Sample,,,ND
HJ-07.D,Sample,6.397,0,ND
HJ-08.D,Sample,6.209,0,ND
HJ-09.D,Sample,6.397,0,ND
HJ-10.D,Sample,,,ND
HJ-11.D,Sample,6.391,0,ND
HJ-12.D,Sample,,,ND
HJ-13.D,Sample,6.209,0,ND
HJ-14.D,Sample,6.273,0,ND
HJ-15.D,Sample,6.263,0,ND
HJ-16.D,Sample,6.215,0,ND
HJ-17.D,Sample,6.386,0,ND
MBK-4.D,Blank,,,ND
CCV-4.D,QC,6.290,17056,2.158
,,
Epichlorohydrin,,

Cal. Path,Type,Level,Enable,Conc.,Response
D:\DATA\2026년\1. 2026년 1월\EPIC(HC 1.22 YS 1.27.28 HJ 1.28)\EPIC ST-01.D,Calibration,1,x,0.250,1609
D:\DATA\2026년\1. 2026년 1월\EPIC(HC 1.22 YS 1.27.28 HJ 1.28)\EPIC ST-02.D,Calibration,2,x,0.500,3111
D:\DATA\2026년\1. 2026년 1월\EPIC(HC 1.22 YS 1.27.28 HJ 1.28)\EPIC ST-03.D,Calibration,3,x,1.000,6651
