"Sample ID","Type","Conc","WL460.0","Comments"
"MBK","Unknown",-0.0020,-0.0002,""
"FBK(0225 ÇÑ¼¼)","Unknown",-0.0019,-0.0001,""
"FBK(0226 Ã·´Ü)","Unknown",-0.0019,-0.0001,""
"FBK(0227 Æ÷½ºÄÚ¸®Æ¬)","Unknown",-0.0019,-0.0000,""
"ÇÑ¼¼","Unknown",0.0329,0.0816,""
"·Ôµ¥Ã·´Ü1","Unknown",0.3220,0.7597,""
"·Ôµ¥Ã·´Ü3","Unknown",0.1581,0.3753,""
"Æ÷½ºÄÚ¸®Æ¬1","Unknown",0.0415,0.1017,""
"Æ÷½ºÄÚ¸®Æ¬2","Unknown",0.0322,0.0799,""
"¿Á°úÀ¯ÀÔ","Unknown",0.3419,0.8063,""
"¿Á°ú¹æ·ù","Unknown",0.0120,0.0325,""
"¼®°îÀ¯ÀÔ","Unknown",0.0524,0.1274,""
"¼®°î¹æ·ù","Unknown",0.0214,0.0547,""
"CCV(ST4,0.200mg/L)","Unknown",0.2004,0.4744,""
