pdf,es,line,context,amount,unit
ES 04000.e 총칙.pdf,ES 04000,"2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체","2.2 농도 표시 2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체 100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량",100,mL
ES 04000.e 총칙.pdf,ES 04000,"100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량","2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체 100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g",100,mL
ES 04000.e 총칙.pdf,ES 04000,"100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량","2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체 100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g",100,mL
ES 04000.e 총칙.pdf,ES 04000,"(mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g","100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g 중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할",100,mL
ES 04000.e 총칙.pdf,ES 04000,"(mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g","100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g 중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할",100,g
ES 04000.e 총칙.pdf,ES 04000,"중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할","(mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g 중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할 때는 w/w %의 기호를 쓴다. 다만, 용액의 농도를 “%”로만 표시할 때는 w/v %를 말",100,g
ES 04000.e 총칙.pdf,ES 04000,"성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL,","4.2.3 용액의 농도를 (1→10), (1→100) 또는 (1→1 000) 등으로 표시하는 것은 고체 성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL, 100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다.",1,g
ES 04000.e 총칙.pdf,ES 04000,"성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL,","4.2.3 용액의 농도를 (1→10), (1→100) 또는 (1→1 000) 등으로 표시하는 것은 고체 성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL, 100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다.",10,mL
ES 04000.e 총칙.pdf,ES 04000,100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다.,"성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL, 100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다. 4.2.4  액체 시약의 농도에 있어서 예를 들어 염산(1 + 2)이라고 되어있을 때에는",100,mL
ES 04000.e 총칙.pdf,ES 04000,"6.5 방울수라 함은 20 ℃에서 정제수 20 방울을 적하할 때, 그 부피가 약 1 mL 되","값에서 빼는 것을 뜻한다. 6.5 방울수라 함은 20 ℃에서 정제수 20 방울을 적하할 때, 그 부피가 약 1 mL 되 는 것을 뜻한다.",1,mL
